name,suspensions,expulsions,charter
Cesar Chavez PCS for Public Policy Capitol Hill,17,0,TRUE
Cesar Chavez PCS for Public Policy Parkside Middle,17,2,TRUE
Cesar Chavez PCS for Public Policy Chavez Prep,31,2,TRUE
Cesar Chavez PCS for Public Policy Parkside High,24,2,TRUE
Friendship PCS Collegiate Academy,0,4,TRUE
Friendship PCS Southeast Academy,10,0,TRUE
Friendship PCS Technology Preparatory Academy Middle,5,3,TRUE
Friendship PCS Blow Pierce Middle,41,3,TRUE
Friendship PCS Blow Pierce Elementary,17,0,TRUE
Friendship PCS Chamberlain Elementary,0,0,TRUE
Friendship PCS Woodridge Middle,0,0,TRUE
Friendship PCS Woodridge Elementary,0,0,TRUE
Friendship PCS Chamberlain Middle,0,0,TRUE
Friendship PCS Online,0,0,TRUE
Friendship PCS Technology Preparatory Academy High,0,0,TRUE
Friendship PCS Armstrong,0,0,TRUE
Elsie Whitlow Stokes Community Freedom PCS,3,0,TRUE
Perry Street Preparatory PCS,26,0,TRUE
Ideal Academy PCS,0,0,TRUE
IDEA PCS,20,0,TRUE
Maya Angelou PCS High School,33,0,TRUE
Meridian PCS,0,0,TRUE
The Next Step El Pr?ximo Paso PCS,0,0,TRUE
Washington Latin PCS Middle School,12,0,TRUE
Washington Latin PCS Upper School,17,0,TRUE
Roots PCS,4,0,TRUE
SEED PCS of Washington DC,0,5,TRUE
Washington Mathematics Science Technology PCHS,0,0,TRUE
Cedar Tree Academy PCS,0,0,TRUE
Murch ES at UDC,0,0,FALSE
Moten ES,1,0,FALSE
Miner ES,0,0,FALSE
Roosevelt HS,0,0,FALSE
Takoma EC,0,0,FALSE
Stanton ES,0,0,FALSE
Duke Ellington School of the Arts,2,0,FALSE
Sousa MS,10,0,FALSE
Seaton ES,0,0,FALSE
Savoy ES,0,0,FALSE
Ross ES,0,0,FALSE
Randle Highlands ES,0,0,FALSE
Shepherd ES,0,0,FALSE
Marie Reed ES,0,0,FALSE
Raymond EC,0,0,FALSE
Maury ES at Eliot-Hine,0,0,FALSE
Mann ES,0,0,FALSE
Malcolm X ES at Green,0,0,FALSE
Ludlow-Taylor ES,0,0,FALSE
Leckie EC,4,0,FALSE
LaSalle-Backus EC,0,0,FALSE
Langdon ES,0,0,FALSE
Lafayette ES,0,0,FALSE
Watkins ES Capitol Hill Cluster,0,0,FALSE
Thomas ES,0,0,FALSE
Stoddert ES,0,0,FALSE
Simon ES,1,0,FALSE
H D Woodson HS,0,0,FALSE
J O Wilson ES,0,0,FALSE
Smothers ES,0,0,FALSE
Whittier EC,0,0,FALSE
West EC,0,0,FALSE
Wheatley EC,1,0,FALSE
Walker-Jones EC,11,0,FALSE
Tyler ES,0,0,FALSE
Turner ES,0,0,FALSE
Tubman ES,0,0,FALSE
Truesdell EC,4,0,FALSE
Thomson ES,0,0,FALSE
Eastern HS,3,0,FALSE
Dunbar HS,0,0,FALSE
Coolidge HS,0,0,FALSE
Cardozo EC,5,0,FALSE
Ballou HS,24,2,FALSE
Anacostia HS,0,0,FALSE
Eaton ES,0,0,FALSE
Drew ES,4,0,FALSE
H D Cooke ES,0,0,FALSE
King ES,0,0,FALSE
Cleveland ES,0,0,FALSE
Burrville ES,0,0,FALSE
Burroughs ES,0,0,FALSE
Bruce-Monroe ES at Park View,0,0,FALSE
Bunker Hill ES,1,0,FALSE
Brightwood EC,1,0,FALSE
Brent ES,0,0,FALSE
Beers ES,0,0,FALSE
Barnard ES,1,0,FALSE
Bancroft ES at Sharpe,0,0,FALSE
Amidon-Bowen ES,0,0,FALSE
Aiton ES,0,0,FALSE
Powell ES,0,0,FALSE
Plummer ES,0,0,FALSE
School Without Walls HS,0,0,FALSE
Woodrow Wilson HS,23,0,FALSE
Hart MS,0,0,FALSE
Deal MS,5,0,FALSE
Kramer MS,45,0,FALSE
Johnson MS,2,0,FALSE
School Without Walls at Francis-Stevens,2,0,FALSE
Eliot-Hine MS,4,0,FALSE
Browne EC,0,0,FALSE
Benjamin Banneker HS,6,0,FALSE
Peabody ES Capitol Hill Cluster,0,0,FALSE
Payne ES,0,0,FALSE
Patterson ES,0,0,FALSE
Oyster-Adams Bilingual School,6,0,FALSE
Orr ES,0,0,FALSE
Nalle ES,4,0,FALSE
Noyes ES,0,0,FALSE
Garfield ES,0,0,FALSE
Garrison ES,0,0,FALSE
Kimball ES at Davis,0,0,FALSE
Key ES,0,0,FALSE
Ketcham ES,0,0,FALSE
Janney ES,0,0,FALSE
Hyde-Addison ES at Meyer,0,0,FALSE
Houston ES,0,0,FALSE
Hendley ES,0,0,FALSE
Hearst ES,0,0,FALSE
C W  Harris ES,0,0,FALSE
Hardy MS,6,0,FALSE
Stuart-Hobson MS Capitol Hill Cluster,0,0,FALSE
Luke C Moore HS,0,0,FALSE
Ballou STAY HS,0,0,FALSE
Roosevelt STAY HS,0,0,FALSE
McKinley Technology HS,6,0,FALSE
Kelly Miller MS,0,0,FALSE
Columbia Heights EC,0,0,FALSE
Washington Metropolitan HS,0,0,FALSE
Phelps Architecture Construction and Engineering HS,0,0,FALSE
CHOICE Academy at Wash Met,0,0,FALSE
Langley ES,0,0,FALSE
Capitol Hill Montessori School at Logan,3,0,FALSE
Jefferson Middle School Academy,0,0,FALSE
School Within School at Goding,0,0,FALSE
McKinley MS,54,0,FALSE
Brookland MS,0,0,FALSE
Dorothy I Height ES,0,0,FALSE
Van Ness ES,0,0,FALSE
River Terrace EC,0,0,FALSE
MacFarland MS,6,0,FALSE
Ron Brown College Preparatory HS,0,0,FALSE
KIPP DC KEY Academy PCS,6,1,TRUE
KIPP DC WILL Academy PCS,38,0,TRUE
KIPP DC AIM Academy PCS,55,0,TRUE
KIPP DC PCS Promise Academy,4,0,TRUE
KIPP DC College Preparatory Academy PCS,165,4,TRUE
KIPP DC Discover Academy PCS,0,0,TRUE
KIPP DC Grow Academy PCS,0,0,TRUE
KIPP DC Heights Academy PCS,1,0,TRUE
KIPP DC Lead Academy PCS,11,0,TRUE
KIPP DC Connect Academy PCS,0,0,TRUE
KIPP DC Spring Academy PCS,2,0,TRUE
KIPP DC Valor Academy PCS,40,2,TRUE
KIPP DC Northeast Academy PCS,0,0,TRUE
KIPP DC Quest Academy PCS,8,1,TRUE
KIPP DC Arts and Technology Academy PCS,1,0,TRUE
Latin American Montessori Bilingual PCS,0,0,TRUE
Thurgood Marshall Academy PCS,0,0,TRUE
Capital City PCS Lower,0,0,TRUE
Capital City PCS Middle,14,0,TRUE
Capital City PCS High,36,0,TRUE
Paul PCS Middle School,0,2,TRUE
Paul PCS International High School,0,3,TRUE
DC Bilingual PCS,6,0,TRUE
EL Haynes PCS Middle,0,2,TRUE
EL Haynes PCS High,0,4,TRUE
EL Haynes PCS Elementary,0,0,TRUE
Mary McLeod Bethune Day Academy PCS,30,0,TRUE
Mary McLeod Bethune Day Academy PCS Crestwood,28,0,TRUE
Two Rivers PCS 4th St,8,0,TRUE
Two Rivers PCS Young,0,0,TRUE
DC Preparatory Academy PCS Edgewood Middle,0,0,TRUE
DC Preparatory Academy PCS Benning Elementary,0,0,TRUE
DC Preparatory Academy PCS Edgewood Elementary,0,0,TRUE
DC Preparatory Academy PCS Benning Middle,0,1,TRUE
