base_name,country,lat,lon
Quibaxe,Angola,-8.49958283733787,14.585525364557771
Funde,Angola,-8.578693771624115,13.661367734812176
Menongue,Angola,-14.670329872926953,17.706095313314762
Nova Gagenga,Angola,-9.550231090286204,16.344100403985856
Quadro,Angola,-9.264226922362653,18.304569404895147
Benguela,Angola,-12.582352490918876,13.41589386471159
Lusaka Office,Zambia,-15.423255938009405,28.286465806229273
Harare Office,Zimbabwe,-17.82768130854416,31.047911159017556
Thaba-Tseka,Lesotho,-29.524233948655027,28.60838253230845
Mbabane Office,eSwatini,-26.326279387296154,31.144908660996666
Ponta de Ouro,Mozambique,-26.831303402356678,32.87789283014692
Maputo Office,Mozambique,-25.965397083975873,32.57703309368886
Rio dos Elefantes,Mozambique,-23.871192603008485,32.23163127115174
Mazimbu,Tanzania,-6.8009016207588795,37.62454270714545
Dar es Salaam Office,Tanzania,-6.819091803172983,39.275212327450234
Kongwa,Tanzania,-6.199374197372656,36.41694384976874
Chunya,Tanzania,-8.557690437721703,33.43498726608712
