id,lieu,coord_1,coord_2,etat_toxique,dimensions,description,Type
1.1,Décharge d'Akoudeo,5.35706,-3.93492,Est[80 x 2m & 20 x 4m] Ouest[80m x 1.5m],NA,NA,Waste
1.2,NA,5.35144,-3.93706,liquide,80m x 0.5m,NA,Waste
1.3,NA,5.35137,-3.9356,liquide,8x7m (50cm profondeur),NA,Waste
2.1,Abobo Anador,5.39036,-4.00624,liquide,NA,NA,Waste
2.2,Abobo Anador,5.40126,-4.01972,Flaque au sol,En amont et aval du canyon. 3 dépots de camions.,NA,Waste
2.3,Abobo Anador,5.39934,-4.01994,Flaque au sol,Aire de réparation (env. 100 litres déverses),NA,Waste
2.5,Abobo Anador,5.3991,-4.01973,Liquide dissolut (sable),trou 2 m profondeur (1x1),NA,Waste
3.1,Abobo Foret du Banco,5.40696,-4.02677,NA,4x2 (30 cm profondeur),NA,Waste
4.1,Abattoir municipal d'Abobo,5.45368,-3.97356,NA,150x15m (principal),evoluted 150m more sur 5m,Waste
4.2,Abattoir municipal d'Abobo,5.45512,-3.97287,NA,NA,NA,Waste
5.1,Route d'Alepe,5.45937,-3.97179,NA,NA,Dépot le long de la route,Waste
6.1,Route de Anyama Ndotre,5.42257,-4.07302,NA,30m x 1m,Dépot de long de la route,Waste
6.2,Route de Anyama Ndotre,5.41388,-4.07787,NA,10m x 2m,Dépot de long de la route,Waste
7.1,Foret du Banco Cote MACA,5.38947,-4.07857,NA,NA,Dépot de long de la route,Waste
8.1,Tri postal Vridi,5.26128,-4.00202,NA,NA,Dépot dans un canal,Waste
9.1,Vridi Canal Site no. 2,5.26343,-4.00003,Décharge en citerne,NA,NA,Waste
10.1,Décharge en résevoir et canal d'épuration,5.29229,-3.94695,Liquide et sol (couvert de charbon de bois),100m sur 5m,NA,Waste
