applicant_id,gender,dept,outcome
1,male,A,rejected
2,male,A,rejected
3,male,B,admitted
4,male,A,admitted
5,female,D,rejected
6,male,F,rejected
7,female,D,rejected
8,male,B,admitted
9,male,D,rejected
10,male,A,rejected
11,male,A,admitted
12,male,A,rejected
13,female,F,rejected
14,male,A,admitted
15,male,D,admitted
16,male,B,rejected
17,male,A,admitted
18,female,D,admitted
19,male,B,rejected
20,male,B,admitted
21,male,A,admitted
22,female,F,rejected
23,female,F,rejected
24,male,D,rejected
25,male,B,rejected
26,male,B,admitted
27,male,F,rejected
28,male,A,rejected
29,female,D,rejected
30,male,B,admitted
31,male,B,admitted
32,female,F,rejected
33,male,D,admitted
34,male,B,admitted
35,male,A,admitted
36,male,B,admitted
37,female,F,rejected
38,male,B,admitted
39,male,A,admitted
40,male,F,rejected
41,male,D,admitted
42,male,D,rejected
43,male,A,rejected
44,female,D,admitted
45,male,B,rejected
46,female,D,rejected
47,female,D,rejected
48,male,F,admitted
49,male,A,rejected
50,female,D,admitted
51,male,F,rejected
52,female,F,rejected
53,female,F,rejected
54,male,B,admitted
55,male,B,rejected
56,female,F,rejected
57,female,F,rejected
58,female,D,admitted
59,male,D,admitted
60,male,A,admitted
61,male,A,rejected
62,female,D,rejected
63,female,A,admitted
64,male,F,rejected
65,male,A,admitted
66,male,A,admitted
67,male,B,rejected
68,female,F,rejected
69,male,B,rejected
70,female,F,rejected
71,male,F,rejected
72,male,D,rejected
73,male,A,admitted
74,male,A,admitted
75,female,D,admitted
76,male,A,admitted
77,male,D,rejected
78,male,A,admitted
79,male,F,rejected
80,male,A,admitted
81,male,B,rejected
82,male,D,admitted
83,female,B,admitted
84,male,A,admitted
85,male,D,admitted
86,female,A,rejected
87,male,F,rejected
88,female,D,rejected
89,male,D,admitted
90,male,D,admitted
91,male,F,rejected
92,female,A,admitted
93,male,B,admitted
94,female,D,rejected
95,female,A,admitted
96,male,D,admitted
97,male,D,rejected
98,male,F,rejected
99,male,D,admitted
100,male,D,admitted
101,male,F,rejected
102,male,B,admitted
103,female,D,admitted
104,female,F,rejected
105,female,D,rejected
106,male,A,admitted
107,male,D,rejected
108,male,A,admitted
109,male,A,rejected
110,female,B,rejected
111,male,A,admitted
112,male,D,rejected
113,male,B,rejected
114,male,A,rejected
115,male,D,rejected
116,male,D,rejected
117,female,D,rejected
118,female,D,rejected
119,male,F,rejected
120,female,D,rejected
121,female,D,rejected
122,male,B,rejected
123,female,F,rejected
124,female,F,rejected
125,male,A,rejected
126,male,A,admitted
127,male,B,admitted
128,female,B,rejected
129,male,B,rejected
