ADM1_EN,ADM1_UA,ADM1_RU,ADM1_PCODE,ADM0_EN,ADM0_UA,ADM0_RU,ADM0_PCODE,date,validOn,validTo,AREA_SQKM,pop
Autonomous Republic of Crimea,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,3/18/24,4/16/24,,25558.4516,"1,967,259"
Cherkaska,Черкаська,Черкасская,UA71,Ukraine,Україна,Украина,UA,3/18/24,4/16/24,,20939.1686,"1,178,266"
Chernihivska,Чернігівська,Черниговская,UA74,Ukraine,Україна,Украина,UA,3/18/24,4/16/24,,31898.6935,"976,701"
Chernivetska,Чернівецька,Черновицкая,UA73,Ukraine,Україна,Украина,UA,3/18/24,4/16/24,,8094.66686,"896,566"
Dnipropetrovska,Дніпропетровська,Днепропетровская,UA12,Ukraine,Україна,Украина,UA,3/18/24,4/16/24,,31910.6889,"3,142,035"
Donetska,Донецька,Донецкая,UA14,Ukraine,Україна,Украина,UA,3/18/24,4/16/24,,26499.6029,"4,100,280"
Ivano-Frankivska,Івано-Франківська,Ивано-Франковская,UA26,Ukraine,Україна,Украина,UA,3/18/24,4/16/24,,13931.4204,"1,361,109"
Kharkivska,Харківська,Харьковская,UA63,Ukraine,Україна,Украина,UA,3/18/24,4/16/24,,31434.8786,"2,633,834"
Khersonska,Херсонська,Херсонская,UA65,Ukraine,Україна,Украина,UA,3/18/24,4/16/24,,26656.9683,"1,016,707"
Khmelnytska,Хмельницька,Хмельницкая,UA68,Ukraine,Україна,Украина,UA,3/18/24,4/16/24,,20627.3515,"1,243,787"
Kirovohradska,Кіровоградська,Кировоградская,UA35,Ukraine,Україна,Украина,UA,3/18/24,4/16/24,,24574.5877,"920,128"
Kyiv,Київ,Киев,UA80,Ukraine,Україна,Украина,UA,3/18/24,4/16/24,,824.941061,"2,962,180"
Kyivska,Київська,Киевская,UA32,Ukraine,Україна,Украина,UA,3/18/24,4/16/24,,28146.8417,"1,788,530"
Luhanska,Луганська,Луганская,UA44,Ukraine,Україна,Украина,UA,3/18/24,4/16/24,,26687.7543,"2,121,322"
Lvivska,Львівська,Львовская,UA46,Ukraine,Україна,Украина,UA,3/18/24,4/16/24,,21825.3125,"2,497,750"
Mykolaivska,Миколаївська,Николаевская,UA48,Ukraine,Україна,Украина,UA,3/18/24,4/16/24,,24338.7257,"1,108,394"
Odeska,Одеська,Одесская,UA51,Ukraine,Україна,Украина,UA,3/18/24,4/16/24,,33348.2384,"2,368,107"
Poltavska,Полтавська,Полтавская,UA53,Ukraine,Україна,Украина,UA,3/18/24,4/16/24,,28722.7828,"1,371,529"
Rivnenska,Рівненська,Ровенская,UA56,Ukraine,Україна,Украина,UA,3/18/24,4/16/24,,20057.2868,"1,148,456"
Sevastopol,Севастополь,Севастополь,UA85,Ukraine,Україна,Украина,UA,3/18/24,4/16/24,,57.44772,"385,870"
Sumska,Сумська,Сумская,UA59,Ukraine,Україна,Украина,UA,3/18/24,4/16/24,,23842.0134,"1,053,452"
Ternopilska,Тернопільська,Тернопольская,UA61,Ukraine,Україна,Украина,UA,3/18/24,4/16/24,,13833.3072,"1,030,562"
Vinnytska,Вінницька,Винницкая,UA05,Ukraine,Україна,Украина,UA,3/18/24,4/16/24,,26490.8675,"1,529,123"
Volynska,Волинська,Волынская,UA07,Ukraine,Україна,Украина,UA,3/18/24,4/16/24,,20145.2509,"1,027,397"
Zakarpatska,Закарпатська,Закарпатская,UA21,Ukraine,Україна,Украина,UA,3/18/24,4/16/24,,12758.4546,"1,250,129"
Zaporizka,Запорізька,Запорожская,UA23,Ukraine,Україна,Украина,UA,3/18/24,4/16/24,,27180.0669,"1,666,515"
Zhytomyrska,Житомирська,Житомирская,UA18,Ukraine,Україна,Украина,UA,3/18/24,4/16/24,,29831.504,"1,195,495"
