folio,hog_num_personas_o98,jefe_edad_o98,hog_num_young_o98,hog_mean_sick_o98,hog_num_schoolage_o98,hog_mean_missed_o98,hog_num_personas_n99,jefe_edad_n99,hog_num_young_n99,hog_mean_sick_n99,hog_num_schoolage_n99,hog_mean_missed_n99,hog_income_o98,jefe_ag_worker_o98,jefe_dialect_o98,jefe_nivel_esc_o98,jefe_grado_esc_o98,jefe_ms_o98,jefe_hs_o98,hog_gasto_o98,hog_gasto_n99,hog_grado_pobreza,hog_indice_pobreza,hog_contba,hog_treatment
4,5,26,2,0,1,0,5,27,2,0,1,0,300,TRUE,1,2,6,FALSE,FALSE,300,200,5,0.3384,1,TRUE
32,5,36,2,0,1,0,5,36,2,8,1,0,100,TRUE,2,5,2,TRUE,TRUE,100,150,4,-0.37694,1,TRUE
37,5,40,1,0,1,0,5,41,1,6,1,0,200,TRUE,2,2,1,FALSE,FALSE,200,100,4,-0.58765,1,TRUE
38,5,29,2,0,1,0,6,30,3,0,1,0,100,TRUE,2,2,3,FALSE,FALSE,100,100,4,-0.58765,1,TRUE
44,6,58,1,0,3,0,6,60,1,0,3,0,50,TRUE,2,2,6,FALSE,FALSE,50,150,4,-0.5132,1,TRUE
64,6,44,1,0,3,1,6,45,1,0,3,0,200,TRUE,2,2,3,FALSE,FALSE,200,250,5,0.39471,2,FALSE
69,6,50,3,5,1,0,6,51,2,17.5,2,0,250,TRUE,2,2,3,FALSE,FALSE,250,200,5,1.27095,1,TRUE
73,6,48,1,0,3,0,6,51,1,0,2,0,150,TRUE,2,2,6,FALSE,FALSE,150,200,5,1.27095,1,TRUE
95,5,23,2,0,1,0,6,25,2,5,2,0,150,FALSE,2,2,4,FALSE,FALSE,150,200,5,0.59768,1,TRUE
103,7,52,2,0,3,0,7,53,2,0,3,0,200,TRUE,2,2,1,FALSE,FALSE,200,250,5,0.59768,1,TRUE
109,4,27,1,0,1,0,4,28,1,0,1,0,200,FALSE,2,2,6,FALSE,FALSE,200,250,4,-0.45173,2,FALSE
127,6,32,1,0,2,0,6,34,1,7,2,0,80,TRUE,1,7,4,TRUE,TRUE,80,80,5,0.05169,1,TRUE
129,4,43,1,3,1,0,4,43,1,0,1,0,30,TRUE,2,5,3,TRUE,TRUE,30,150,5,0.05169,1,TRUE
134,6,36,1,0,3,0,7,38,2,0,3,0,150,TRUE,2,0,0,FALSE,FALSE,150,250,4,-0.56521,1,TRUE
143,5,30,1,0,1,0,5,31,1,0,1,0,30,TRUE,1,2,6,FALSE,FALSE,30,100,5,0.41486,1,TRUE
148,6,32,3,0,1,0,6,35,2,1.5,2,0,50,TRUE,2,2,3,FALSE,FALSE,50,200,4,-0.4297,1,TRUE
150,5,20,1,0,1,0,5,21,1,2,1,3,150,TRUE,2,2,6,FALSE,FALSE,150,120,5,0.85518,1,TRUE
152,7,33,1,0,4,0,7,34,1,0,4,3,150,FALSE,2,5,3,TRUE,TRUE,150,140,5,0.85518,1,TRUE
153,5,31,2,0,1,0,5,32,1,4,2,0,100,TRUE,2,2,6,FALSE,FALSE,100,120,5,0.85518,1,TRUE
156,4,30,1,4,1,0,4,31,1,0,1,2,150,FALSE,2,2,4,FALSE,FALSE,150,140,5,0.29872,2,FALSE
161,6,26,2,0,2,0,6,28,2,0.5,2,0,120,TRUE,2,3,1,TRUE,FALSE,120,90,5,0.65042,2,FALSE
162,5,29,2,0,1,0,6,31,3,0,1,0,100,TRUE,2,3,3,TRUE,FALSE,100,120,5,0.65042,2,FALSE
199,4,39,1,0,1,0,5,39,2,0,1,0,50,FALSE,2,2,6,FALSE,FALSE,50,80,5,0.19731,2,FALSE
209,11,49,2,0,5,0,11,51,2,0,5,0,300,FALSE,2,2,4,FALSE,FALSE,300,350,5,0.53312,1,TRUE
210,4,34,1,0,1,3,4,32,1,3,1,1,60,FALSE,1,0,0,FALSE,FALSE,60,50,5,1.81359,2,FALSE
217,9,53,1,0,6,0,9,53,1,0,5,0.8,100,TRUE,2,2,5,FALSE,FALSE,100,120,5,0.3498,1,TRUE
220,5,25,2,0,1,0,6,25,2,0,2,0,50,TRUE,1,0,0,FALSE,FALSE,50,150,5,1.81359,2,FALSE
224,4,27,1,15,1,2,5,27,1,8,2,0,150,TRUE,2,2,4,FALSE,FALSE,150,250,4,-0.33439,2,FALSE
225,6,34,1,0,3,0,6,36,1,0,3,0,250,FALSE,2,6,1,TRUE,TRUE,250,450,4,-0.33439,2,FALSE
229,4,31,1,0,1,2,4,31,1,15,1,2,150,FALSE,2,2,6,FALSE,FALSE,150,150,4,-0.1306,2,FALSE
240,6,45,1,4,3,0,6,46,1,0,3,0,80,TRUE,1,5,3,TRUE,TRUE,80,150,5,0.80418,1,TRUE
241,7,59,2,0,1,0,6,61,1,0,1,0,100,TRUE,1,2,2,FALSE,FALSE,100,60,5,0.80418,1,TRUE
249,6,30,2,0,2,0,6,33,1,4,3,1,200,TRUE,2,2,4,FALSE,FALSE,200,200,5,0.52443,1,TRUE
285,7,29,3,0,2,0,7,30,2,1.5,3,0,100,TRUE,1,2,2,FALSE,FALSE,100,100,5,2.05111,2,FALSE
311,6,39,1,0,1,0,6,40,1,4,1,0,60,TRUE,2,2,3,FALSE,FALSE,60,200,4,-0.56738,1,TRUE
338,7,34,2,0,3,0,7,34,1,0,4,0,120,TRUE,1,2,3,FALSE,FALSE,120,150,5,1.29873,2,FALSE
340,6,37,1,0,3,0,6,38,1,30,3,1,150,TRUE,1,2,4,FALSE,FALSE,150,180,5,1.29873,2,FALSE
343,6,31,2,4,2,2.5,6,32,1,4,3,0,100,TRUE,1,2,5,FALSE,FALSE,100,150,5,1.29873,2,FALSE
348,4,36,1,0,1,0,5,36,1,4,2,0,100,TRUE,2,7,4,TRUE,TRUE,100,250,4,-0.03241,1,TRUE
350,6,31,2,0,2,0.5,6,32,2,0,2,0,100,FALSE,2,7,4,TRUE,TRUE,100,140,4,-0.03241,1,TRUE
357,8,37,1,0,4,0,8,39,1,0,4,0.5,150,FALSE,2,2,2,FALSE,FALSE,150,250,4,-0.16179,2,FALSE
360,6,30,2,0,2,0,6,31,2,0,2,0,60,FALSE,2,2,6,FALSE,FALSE,60,200,5,1.05746,1,TRUE
369,13,44,3,0,5,0.2,13,46,2,2,6,0,200,TRUE,2,2,6,FALSE,FALSE,200,300,5,1.3281,2,FALSE
372,3,19,1,0,1,0,3,19,1,0,1,0,130,TRUE,2,2,6,FALSE,FALSE,130,200,5,0.25467,2,FALSE
377,6,31,3,0.6666666666666666,2,0,6,33,2,0.5,3,0,150,TRUE,2,2,2,FALSE,FALSE,150,150,4,0.00728,2,FALSE
383,6,63,1,0,3,0,6,64,1,0,3,1.3333333333333333,150,TRUE,2,2,6,FALSE,FALSE,150,250,5,1.14156,1,TRUE
402,6,45,2,0,2,0,6,42,1,0,3,0,100,TRUE,1,2,6,FALSE,FALSE,100,150,5,0.71212,2,FALSE
406,4,33,1,0,1,0,4,33,1,6,1,0,100,FALSE,1,2,6,FALSE,FALSE,100,200,5,0.71212,2,FALSE
413,9,42,1,0,4,0,9,42,1,0,4,0,150,TRUE,1,2,6,FALSE,FALSE,150,200,5,1.06103,2,FALSE
422,5,34,1,0,2,0,6,33,2,0,2,0.5,60,TRUE,2,2,4,FALSE,FALSE,60,160,5,0.0971,1,TRUE
430,9,57,2,0,3,0,9,55,2,0,3,0,100,FALSE,1,0,0,FALSE,FALSE,100,120,5,1.63781,2,FALSE
433,5,26,2,2.5,1,0,5,27,2,0,1,0,180,FALSE,2,2,3,FALSE,FALSE,180,150,4,-0.18067,2,FALSE
438,4,29,1,0,1,1,4,30,1,3,1,0,210,TRUE,2,2,6,FALSE,FALSE,210,300,4,-0.18067,2,FALSE
458,4,37,1,0,1,0,4,38,1,0,1,0,100,FALSE,2,2,3,FALSE,FALSE,100,150,5,0.71963,1,TRUE
486,9,39,2,0,5,0,9,39,2,15,4,0,20,FALSE,2,2,3,FALSE,FALSE,20,50,5,0.44104,1,TRUE
492,5,29,2,0,1,1,6,30,2,0,2,0,60,TRUE,2,2,1,FALSE,FALSE,60,150,5,1.45921,1,TRUE
505,6,44,1,0,2,0,6,46,1,0,2,0,100,TRUE,1,3,3,TRUE,FALSE,100,150,5,1.56404,2,FALSE
506,8,36,2,0,4,0,8,38,2,0,4,0,200,TRUE,1,2,6,FALSE,FALSE,200,150,5,1.56404,2,FALSE
507,8,38,2,0,4,0,9,40,2,1.5,5,0,120,TRUE,1,3,3,TRUE,FALSE,120,150,5,1.56404,2,FALSE
508,5,36,2,0,1,0,6,38,2,0,2,0,350,TRUE,1,3,3,TRUE,FALSE,350,150,5,1.56404,2,FALSE
511,5,32,2,0,1,0,6,33,3,0,1,0,200,TRUE,1,3,3,TRUE,FALSE,200,150,5,1.56404,2,FALSE
517,5,31,1,0,2,0,5,32,1,0,2,0,100,TRUE,2,2,6,FALSE,FALSE,100,200,5,0.51985,2,FALSE
525,11,52,1,0,5,0,11,54,1,0,4,0,200,TRUE,1,5,3,TRUE,TRUE,200,250,5,0.51985,2,FALSE
538,14,51,3,4.666666666666667,4,0,12,52,3,3.6666666666666665,3,1.6666666666666667,300,FALSE,1,4,99,TRUE,TRUE,300,150,5,0.51985,2,FALSE
540,5,36,1,0,2,0,5,37,1,0,2,0,55,TRUE,1,2,6,FALSE,FALSE,55,100,5,0.51985,2,FALSE
549,6,62,1,0,4,0,6,63,1,0,4,0,250,TRUE,1,2,2,FALSE,FALSE,250,100,5,1.25032,2,FALSE
559,5,29,2,0.5,1,4,5,29,2,0,1,0,80,TRUE,1,2,3,FALSE,FALSE,80,200,5,1.31946,1,TRUE
576,9,33,2,1.5,5,0.6,9,35,1,99,6,0,100,FALSE,1,2,3,FALSE,FALSE,100,100,5,1.28523,2,FALSE
580,8,34,2,2,4,0,8,34,2,0,4,0,50,TRUE,1,1,1,FALSE,FALSE,50,200,5,1.28523,2,FALSE
582,5,33,2,0,1,0,6,34,3,0,1,0,100,TRUE,1,2,4,FALSE,FALSE,100,150,5,1.28523,2,FALSE
591,8,67,1,4,5,0.2,8,68,1,0,4,0,80,TRUE,1,2,6,FALSE,FALSE,80,100,5,1.28523,2,FALSE
595,10,37,2,0,5,0,10,38,2,0,6,16.5,70,TRUE,1,0,0,FALSE,FALSE,70,350,5,1.28523,2,FALSE
601,4,31,1,0,1,0,4,32,1,0,1,0,100,TRUE,1,2,6,FALSE,FALSE,100,100,5,1.08887,1,TRUE
603,5,24,2,2.5,1,0,6,25,3,0,1,0,100,TRUE,1,2,6,FALSE,FALSE,100,100,5,1.08887,1,TRUE
604,8,35,1,0,5,0,9,35,2,0,4,0,80,TRUE,1,2,1,FALSE,FALSE,80,400,5,1.43753,2,FALSE
605,5,27,1,0,2,0,6,28,1,0,3,0,220,FALSE,1,2,1,FALSE,FALSE,220,200,5,1.43753,2,FALSE
628,11,55,1,7,3,0,10,57,1,0,3,0,200,TRUE,2,2,1,FALSE,FALSE,200,170,4,-0.30176,2,FALSE
645,9,37,1,0,4,0,9,38,1,0,4,0,200,TRUE,2,2,4,FALSE,FALSE,200,200,5,1.05747,1,TRUE
662,7,36,2,1.5,3,0,7,36,2,0,3,0,120,TRUE,2,3,1,TRUE,FALSE,120,250,4,-0.39508,1,TRUE
681,5,64,2,0,1,0,4,64,1,0,1,0,100,TRUE,2,2,2,FALSE,FALSE,100,170,5,0.48951,1,TRUE
687,7,34,1,0,4,0.5,7,37,1,0,3,1.6666666666666667,150,TRUE,2,2,4,FALSE,FALSE,150,150,5,0.16233,1,TRUE
696,6,36,1,2,3,0,6,46,1,9,3,0,30,FALSE,2,2,6,FALSE,FALSE,30,100,4,-0.53207,2,FALSE
697,8,34,2,0,4,0,8,34,1,0,5,0,200,TRUE,2,2,3,FALSE,FALSE,200,300,4,-0.53207,2,FALSE
700,6,50,3,0,1,1,6,51,3,1,1,0,150,TRUE,2,2,3,FALSE,FALSE,150,120,4,-0.48103,2,FALSE
703,6,34,1,0,3,0,6,35,1,7,3,0,300,FALSE,2,1,3,FALSE,FALSE,300,250,4,-0.55599,1,TRUE
708,6,34,2,4,2,2.5,6,34,2,3,2,0,100,TRUE,2,2,6,FALSE,FALSE,100,200,5,0.04794,1,TRUE
710,5,35,1,0,2,0,5,36,1,0,2,0,150,TRUE,1,2,6,FALSE,FALSE,150,160,5,0.26536,2,FALSE
720,6,31,1,0,3,0,6,32,1,0,3,0,120,TRUE,1,2,5,FALSE,FALSE,120,150,5,1.61341,1,TRUE
721,7,39,2,0,3,0,7,38,1,3,4,0,120,TRUE,1,2,2,FALSE,FALSE,120,80,5,1.49063,1,TRUE
723,7,55,1,8,3,0.6666666666666666,6,57,1,0,2,0,120,TRUE,2,2,4,FALSE,FALSE,120,130,5,1.79379,2,FALSE
769,11,39,2,0,5,0,13,39,1,0,7,0,150,TRUE,2,2,6,FALSE,FALSE,150,300,5,0.86671,2,FALSE
781,4,23,1,0,1,0,4,23,1,0,1,0,55,FALSE,1,2,1,FALSE,FALSE,55,200,5,1.35888,1,TRUE
783,5,29,2,1.5,1,0,5,24,2,0,1,0,100,FALSE,2,2,3,FALSE,FALSE,100,150,4,-0.54315,1,TRUE
