month,Assault,Homicide,Rape,Robbery,Total
1985-01-01,86,2,23,116,227.0
1985-02-01,93,6,18,108,225.0
1985-03-01,136,5,21,101,263.0
1985-04-01,109,7,29,103,248.0
1985-05-01,120,11,23,98,252.0
1985-06-01,125,6,11,110,252.0
1985-07-01,147,16,24,98,285.0
1985-08-01,171,7,24,106,308.0
1985-09-01,158,7,27,135,327.0
1985-10-01,129,10,34,148,321.0
1985-11-01,136,7,27,152,322.0
1985-12-01,125,13,22,160,320.0
1986-01-01,108,3,25,196,332.0
1986-02-01,112,8,16,133,269.0
1986-03-01,142,12,14,125,293.0
1986-04-01,174,5,18,122,319.0
1986-05-01,187,12,30,112,341.0
1986-06-01,175,6,27,130,338.0
1986-07-01,143,12,35,120,310.0
1986-08-01,139,6,37,136,318.0
1986-09-01,163,3,31,126,323.0
1986-10-01,177,8,35,108,328.0
1986-11-01,135,5,34,132,306.0
1986-12-01,118,8,23,143,292.0
1987-01-01,108,12,23,136,279.0
1987-02-01,105,8,27,125,265.0
1987-03-01,138,9,38,135,320.0
1987-04-01,144,2,19,105,270.0
1987-05-01,176,6,41,119,342.0
1987-06-01,117,6,45,190,358.0
1987-07-01,204,10,23,191,428.0
1987-08-01,63,2,23,81,169.0
1987-09-01,121,5,25,119,270.0
1987-10-01,134,10,21,144,309.0
1987-11-01,116,10,14,107,247.0
1987-12-01,120,4,12,139,275.0
1988-01-01,119,1,19,129,268.0
1988-02-01,136,7,17,109,269.0
1988-03-01,160,8,20,115,303.0
1988-04-01,159,5,19,91,274.0
1988-05-01,157,3,24,117,301.0
1988-06-01,148,7,38,106,299.0
1988-07-01,217,11,18,100,346.0
1988-08-01,206,9,29,130,374.0
1988-09-01,203,11,26,127,367.0
1988-10-01,85,11,12,86,194.0
1988-11-01,87,8,14,87,196.0
1988-12-01,112,11,10,95,228.0
1989-01-01,150,8,11,161,330.0
1989-02-01,137,6,12,138,293.0
1989-03-01,160,2,22,162,346.0
1989-04-01,162,5,26,123,316.0
1989-05-01,188,9,38,163,398.0
1989-06-01,155,8,28,133,324.0
1989-07-01,199,16,28,226,469.0
1989-08-01,230,11,33,187,461.0
1989-09-01,257,12,23,207,499.0
1989-10-01,70,8,19,83,180.0
1989-11-01,90,5,9,80,184.0
1989-12-01,98,10,9,103,220.0
1990-01-01,160,11,15,200,386.0
1990-02-01,145,10,13,121,289.0
1990-03-01,158,7,17,156,338.0
1990-04-01,149,19,16,125,309.0
1990-05-01,177,6,29,124,336.0
1990-06-01,205,9,27,130,371.0
1990-07-01,191,9,28,162,390.0
1990-08-01,166,7,33,134,340.0
1990-09-01,139,17,28,140,324.0
1990-10-01,169,13,16,170,368.0
1990-11-01,174,8,21,169,372.0
1990-12-01,169,9,24,168,370.0
1991-01-01,0,0,0,0,0.0
1991-02-01,0,0,0,0,0.0
1991-03-01,1157,35,69,465,1726.0
1991-04-01,0,0,0,0,0.0
1991-05-01,0,0,0,0,0.0
1991-06-01,1157,35,69,465,1726.0
1991-07-01,0,0,0,0,0.0
1991-08-01,0,0,0,0,0.0
1991-09-01,1157,35,69,465,1726.0
1991-10-01,0,0,0,0,0.0
1991-11-01,0,0,0,0,0.0
1991-12-01,1158,34,72,466,1730.0
1992-01-01,0,0,0,0,0.0
1992-02-01,0,0,0,0,0.0
1992-03-01,948,33,91,464,1536.0
