resp_id,usid,fixed_set,periodic_set,military_region,province,district,village,hamlet,year,month,resp_num,sex,sex_num,security_score,security_num,question_num,response_code,blacklisted,age_num,mar_num,eth_num
101030102_711001,101030102,711001MB0,0002B,1,01,03,01,02,71,10,01,M,0,B,1,0002,B,0,30,0,1
101030102_711002,101030102,711002FB0,0002B,1,01,03,01,02,71,10,02,F,1,B,1,0002,B,0,30,0,1
101030102_711003,101030102,711003MB0,0002B,1,01,03,01,02,71,10,03,M,0,B,1,0002,B,0,30,0,1
101030102_711004,101030102,711004MB0,0002B,1,01,03,01,02,71,10,04,M,0,B,1,0002,B,0,30,0,1
101030102_711005,101030102,711005FB0,0002B,1,01,03,01,02,71,10,05,F,1,B,1,0002,B,0,30,0,1
101030104_720101,101030104,720101MB0,0002B,1,01,03,01,04,72,01,01,M,0,B,1,0002,B,0,30,0,1
101030104_720102,101030104,720102FB0,0002B,1,01,03,01,04,72,01,02,F,1,B,1,0002,B,0,30,0,1
101030104_720103,101030104,720103MB0,0002B,1,01,03,01,04,72,01,03,M,0,B,1,0002,B,0,30,0,1
101030104_720104,101030104,720104MB0,0002B,1,01,03,01,04,72,01,04,M,0,B,1,0002,B,0,30,0,1
101030104_720105,101030104,720105MB0,0002B,1,01,03,01,04,72,01,05,M,0,B,1,0002,B,0,30,1,1
101030108_711001,101030108,711001MB0,0002B,1,01,03,01,08,71,10,01,M,0,B,1,0002,B,0,30,0,1
101030108_711002,101030108,711002MB0,0002B,1,01,03,01,08,71,10,02,M,0,B,1,0002,B,0,30,0,1
101030108_711003,101030108,711003MB0,0002B,1,01,03,01,08,71,10,03,M,0,B,1,0002,B,0,30,0,1
101030108_711004,101030108,711004MB0,0002B,1,01,03,01,08,71,10,04,M,0,B,1,0002,B,0,30,0,1
101030108_711005,101030108,711005MB0,0002B,1,01,03,01,08,71,10,05,M,0,B,1,0002,B,0,30,1,1
101030203_711201,101030203,711201MA0,0002A,1,01,03,02,03,71,12,01,M,0,A,0,0002,A,0,20,0,1
101030203_711202,101030203,711202MA0,0002A,1,01,03,02,03,71,12,02,M,0,A,0,0002,A,0,20,0,1
101030203_711203,101030203,711203FA0,0002A,1,01,03,02,03,71,12,03,F,1,A,0,0002,A,0,20,0,1
101030203_711204,101030203,711204FA0,0002A,1,01,03,02,03,71,12,04,F,1,A,0,0002,A,0,20,0,1
101030203_711205,101030203,711205FA0,0002A,1,01,03,02,03,71,12,05,F,1,A,0,0002,A,0,20,0,1
101030203_720101,101030203,720101MA0,0002A,1,01,03,02,03,72,01,01,M,0,A,0,0002,A,0,20,0,1
101030203_720102,101030203,720102MA0,0002A,1,01,03,02,03,72,01,02,M,0,A,0,0002,A,0,20,0,1
