id,product_name,price
1,Nescafe - Frothy French Vanilla,26.94
2,"Star Anise, Whole",62.83
3,"Wine - White, Riesling, Henry Of",90.1
4,Crab - Meat,67.26
5,Syrup - Monin - Passion Fruit,6.75
6,Drambuie,29.84
7,Bar Mix - Lemon,90.35
8,Flower - Commercial Bronze,20.53
9,Pail With Metal Handle 16l White,60.64
10,Wine - Piper Heidsieck Brut,4.06
11,"Beef - Baby, Liver",16.15
12,Baking Soda,26.32
13,Cookies - Englishbay Chochip,94.55
14,Wine - Beringer Founders Estate,4.66
15,Pastry - Apple Large,90.37
16,Bacardi Mojito,32.64
17,Ice Cream Bar - Rolo Cone,92.29
18,Arrowroot,35.22
19,Wine - Charddonnay Errazuriz,65.2
20,Pastry - Raisin Muffin - Mini,86.87
21,Hot Chocolate - Individual,38.88
22,Port - 74 Brights,46.67
23,Taro Leaves,22.03
24,"Placemat - Scallop, White",52.68
25,Corn - Mini,3.1
26,"Veal - Brisket, Provimi,bnls",85.39
27,"Tomatoes - Vine Ripe, Red",58.83
28,Chinese Foods - Chicken Wing,1.47
29,Flour - Semolina,98.85
30,Curry Powder,13.95
31,Flour - So Mix Cake White,63.58
32,Steampan - Lid For Half Size,99.9
33,Cake - Mini Potato Pancake,5.26
34,"Cheese - Brie, Cups 125g",44.63
35,"Orange - Canned, Mandarin",94.2
36,Ham - Cooked Italian,6.11
37,Sugar - Monocystal / Rock,90.47
38,Marzipan 50/50,71.34
39,Sprouts - Pea,50.85
40,Cheese - Pont Couvert,82.21
41,Lobster - Base,21.29
42,Lid Tray - 16in Dome,78.29
43,Cookie Dough - Chocolate Chip,84.26
44,Fudge - Chocolate Fudge,3.13
45,"Pasta - Detalini, White, Fresh",34.91
46,Basil - Seedlings Cookstown,92.04
47,Syrup - Monin - Granny Smith,81.83
48,Vegetable - Base,96.11
49,Pork Loin Bine - In Frenched,35.82
50,Veal - Eye Of Round,99.14
51,Wine - Pinot Noir Stoneleigh,69.57
52,Cut Wakame - Hanawakaba,95.8
53,Fiddlehead - Frozen,74.32
54,"Sprite, Diet - 355ml",55.84
55,Milk 2% 500 Ml,1.48
56,"Nut - Chestnuts, Whole",28.76
57,Compound - Rum,47.64
58,Soup - Campbells Chili,58.15
59,Creme De Banane - Marie,97.62
60,Wine - Hardys Bankside Shiraz,37.62
61,"Quail - Eggs, Fresh",58.2
62,Sauce - Alfredo,27.69
63,"Apple - Delicious, Red",84.85
64,Soupfoamcont12oz 112con,25.31
65,Coffee Decaf Colombian,21.97
66,Pepper - Chili Powder,35.54
67,Veal - Heart,25.89
68,Wine - Alicanca Vinho Verde,83.87
69,Oil - Shortening - All - Purpose,3.57
70,Flour - All Purpose,85.9
71,Table Cloth 81x81 Colour,80.92
72,Wine - Muscadet Sur Lie,61.95
73,Cheese - Asiago,64.1
74,Pepsi - 600ml,3.02
75,Spring Roll Veg Mini,89.56
76,Mace Ground,32.07
77,Myers Planters Punch,12.32
78,"Nestea - Ice Tea, Diet",31.78
79,"Jam - Blackberry, 20 Ml Jar",37.1
80,Salt - Sea,94.21
81,Flour - Strong Pizza,3.48
82,Pastry - Apple Muffins - Mini,19.24
83,Aspic - Light,9.84
84,Coffee Cup 8oz 5338cd,98.88
85,Peppercorns - Pink,83.65
86,Barley - Pearl,54.94
87,Bread - Italian Roll With Herbs,38.61
88,Beer - Corona,20.82
89,"Wine - White, Ej Gallo",20.86
90,Bouillion - Fish,91.6
91,"Wine - Red, Cabernet Merlot",23.87
92,Cheese - Victor Et Berthold,75.14
93,Mudslide,31.87
94,Foil Wrap,38.28
95,Beer - Fruli,63.76
96,Longos - Grilled Chicken With,52.35
97,Silicone Parch. 16.3x24.3,71.42
98,Island Oasis - Cappucino Mix,62.82
99,Blue Curacao - Marie Brizard,76.52
100,Banana - Green,31.34
101,"Syrup - Monin, Irish Cream",29.54
102,Puff Pastry - Sheets,44.03
103,Pork Ham Prager,59.36
104,Clams - Bay,51.2
105,Hold Up Tool Storage Rack,23.02
106,Wine - Riesling Dr. Pauly,4.96
107,"Vinegar - Balsamic, White",81.35
108,Scallops - U - 10,79.2
109,Buffalo - Striploin,74.62
110,Mangostein,60.02
111,Ecolab - Hobart Upr Prewash Arm,81.13
112,"Wine - Red, Mouton Cadet",26.23
113,Chicken - White Meat With Tender,92.46
114,"Juice - Grape, White",91.68
115,Baking Soda,70.48
116,Vodka - Smirnoff,86.04
117,Mushroom - Porcini Frozen,89.75
118,Sole - Fillet,82.44
119,Beer - Mill St Organic,27.13
120,"Olives - Black, Pitted",44.18
121,"Nut - Cashews, Whole, Raw",52.44
122,Sauce - Mint,41.43
123,Wine - Fontanafredda Barolo,47.73
124,Onions - Vidalia,89.79
125,Rambutan,6.92
126,"Nut - Almond, Blanched, Sliced",15.19
127,Artichokes - Jerusalem,41.65
128,Bulgar,23.13
129,Soup - French Can Pea,22.35
130,"Rosemary - Primerba, Paste",89.9
131,Veal - Striploin,10.46
132,French Pastry - Mini Chocolate,29.99
133,Eggplant - Regular,20.17
134,Wine - Chateau Timberlay,87.48
135,Island Oasis - Banana Daiquiri,20.18
136,Cranberries - Frozen,31.84
137,"Mushroom - Enoki, Dry",30.78
138,"Pasta - Fusili, Dry",33.66
139,Yokaline,78.63
140,Okra,46.89
