item_id,item_name,price
0,Easter Bunny Wood Door Sign - Home Decor - 1 Piece,14.29
1,Kinder Bueno Milk Chocolate and Hazelnut Cream,3.58
2,Brown Ivory and Orange Standing Duck Spring Table Top Decoration,18.99
3,"Caffoz 58"" Home Entertainment Center Wood Media TV Stand, Storage Console, Cabinet for Living Room, Fits up to 60"" TV, Smoky Oak",109.78
4,"Novogratz Voler Coffee Table, Light Oak",106.46
5,"Furinno Simple Design Coffee Table, Espresso",27.76
6,"Convenience Concepts Oxford Coffee Table with Shelf, Espresso",105.58
7,"McCormick Air Fryer Loaded Seasoning Mix, 1.25 oz",1.48
8,"Sceptre 40"" Class FHD (1080P) LED TV (X405BV-FSR)",148
9,"Convenience Concepts Designs2Go Highboy TV Stand with Storage Cabinets and Shelves for TVs up to 40 Inches, Black",89
10,"DHP Jett Junior Twin Metal Loft Bed, Black",150
11,"Convenience Concepts American Heritage Round Coffee Table with Shelf, White Faux Marble/White",127
12,"Convenience Concepts American Heritage Coffee Table with Shelf, Espresso",117.99
13,"Prepac Space-Saving Entryway Organizer with Shoe Storage, Drifted Gray",178.99
14,Boahaus Alva Dresser (Brown - White),180.99
15,"Ovente Air Fryer 3.2 QT, 1400W with Adjustable Temperature Knob, Auto Shut-Off and Dishwasher Safe Non-Stick Basket and Pan Perfect for Healthy and Oilless Fry Bake Grill & Roast Food, White FAM21302W",55.98
16,"Novogratz Kelly Accent Cabinet, White/Taupe",133.75
17,"Novogratz Kelly 5 Drawer Dresser, Faux Rattan & Black Oak",170.77
18,"GreenPan Swift Healthy Ceramic Nonstick, 12 Piece Cookware Pots and Pans Set, Stainless Steel Handles, PFAS-Free, Dishwasher Safe, Oven Safe, Black",134.99
19,Strawberry Street Two Tone Coupe 18 Oz. Dinner Bowl,16.91
20,Strawberry Street Two Tone Coupe 36 Oz. Dinner Bowl,24.49
21,"South Shore Fusion 5-Drawer Chest, Pure White",199.99
22,"South Shore Step One Essential 5-Drawer Chest, Gray Oak",201.99
23,"Strawberry Street Simply White 36 Oz Pasta/Dinner Bowl, Set of 6",21.99
24,"Convenience Concepts Designs2Go 4 Tier Corner Shelf, Black",31.98
25,"Convenience Concepts Xtra Storage 5 Tier Folding Metal Shelf, White",53.54
26,KitchenAid Variable Speed Corded Hand Blender - KHBV53,50.99
27,"Mind Reader 3 Tier Letter Tray Document Sorter, Desk Storage Organizer, Document Organizer, Mail Sorter, Desk Shelf, Iron, Black",19.59
28,"Ovente French Coffee Press 12 Ounce Espresso Maker and Tea Infuser with Triple Filter and Stainless Steel Plunger, Borosilicate Heat Resistant Glass Carafe and Free Measuring Scoop, Silver FSL12S",11.99
29,Alera ALEFW601416BL Compact 15.25 in. x 12.38 in. x 21 in. Rolling File Cart - Black,26.11
30,"Ameriwood Home Pursuit Mobile File Cabinet, Cherry",145.23
31,"Evriholder Lemon and Lime Squeezer, Yellow or Green",7
32,Alera ALEFW601424BL 24 in. x 14 in. x 21 in. Single-Tier Rolling File Cart - Black,36.05
33,"AcuRite Intelli-Time Digital Alarm Clock for Bedroom with USB Charger, Indoor Temperature and Humidity for Heavy Sleepers (13040CA)",32.79
34,"Instapoints 5 Piece Gallery Wall Picture Frame Set 16"" x 20"" Matted to 5"" x 7"" with Offset Mat & Hanging Template",54.44
35,"Arden Selections Outdoor Toss Pillow (2 Pack) 16 x 16, Pistachio Botanical",24.99
36,"Kate and Laurel Cates Farmhouse Wood Framed Wall Mirror, 24 x 38, White, Barn Door-Inspired Rustic Mirrors for Wall",157.75
37,Gallery Solutions 8x10 Black Wall or Tabletop Picture Frame with Double White Mat For 5x7 Image,14.2
38,"Ameriwood Home Lamont Mantel Fireplace, White",330.39
39,"Ovente 8.5'' Hardwired Lighted Wall Mount Makeup Mirror, 1X & 7X Magnifier w/ Dimmer Switch, Spinning Double Sided Round White LED, Extend & Fold, Retractable Arm, Antique Brass MPWD3185AB1X7X",89.94
40,Coghlan's Featherweight Mirror,6.67
41,"Patton Wall Decor 20"" Black and Gold Metal Cut Out Roman Numeral Wall Clock",30.83
42,"Signature Design by Ashley Media Modern Geometric Design Reversible Full Comforter with Two Pillow Shams Set, Gray, White",59.65
43,Americanflat 20x26 Puzzle Frame with Mat for 18x24 Puzzle Display - Peel and Stick Board Included - Composite Wood Puzzle Poster Frame with Plexiglass,34.99
44,Americanflat 12x18 Poster Frame in Silver - Composite Wood with Polished Plexiglass - Horizontal and Vertical Formats for Wall with Included Hanging Hardware,17.62
45,Lavish Home 4-Tier Wood Folding Corner Display Shelf,28.03
46,"Smart Design Undershelf Storage Basket - Small - Snug Fit Arms - Steel Metal Wire - Rust Resistant - Under Shelves, Cabinet, Pantry, and Shelf Organization - 12 x 5.5 Inch - Black",17.49
47,Lenovo ThinkCentre M70a Gen 3 11VL0040US Desktop Computer - Intel Core i5 12th Gen i5-12400 Hexa-core (6 Core) 2.50 GHz - 8 GB RAM DDR4 SDRAM - 256 GB M.2 PCI Express NVMe 4.0 x4 SSD - Desktop - Black,1028.19
48,"Convenience Concepts American Heritage Bookshelf Ladder, Cherry",105.2
49,"Farberware Easy Clean Aluminum Nonstick 20 Pc. Cookware Pots and Pans Set, Aqua",59
