resp_id,urban_rural,region,ethnicity,vote
GHA0005,Urban,Central,Akan,New Patriotic Party (NPP)
GHA0007,Urban,Central,Ewe_Ga,National Democratic Congress (NDC)
GHA0014,Rural,Western,Akan,National Democratic Congress (NDC)
GHA0015,Rural,Western,Akan,National Democratic Congress (NDC)
GHA0017,Rural,Ashanti,Akan,New Patriotic Party (NPP)
GHA0018,Rural,Ashanti,Akan,National Democratic Congress (NDC)
GHA0022,Urban,Greater Accra,Akan,National Democratic Congress (NDC)
GHA0024,Rural,Ashanti,Akan,New Patriotic Party (NPP)
GHA0025,Urban,Eastern,Akan,National Democratic Congress (NDC)
GHA0026,Rural,Ashanti,Akan,National Democratic Congress (NDC)
GHA0027,Rural,Ashanti,Akan,New Patriotic Party (NPP)
GHA0030,Urban,Eastern,Akan,New Patriotic Party (NPP)
GHA0031,Rural,Western North,Akan,National Democratic Congress (NDC)
GHA0036,Urban,Central,Akan,New Patriotic Party (NPP)
GHA0043,Rural,Greater Accra,Ewe_Ga,National Democratic Congress (NDC)
GHA0045,Rural,Ashanti,Akan,National Democratic Congress (NDC)
GHA0048,Rural,Greater Accra,Ewe_Ga,National Democratic Congress (NDC)
GHA0050,Urban,Central,Akan,New Patriotic Party (NPP)
GHA0053,Rural,Western,Akan,New Patriotic Party (NPP)
GHA0054,Rural,Western North,Akan,National Democratic Congress (NDC)
GHA0055,Urban,Greater Accra,Ewe_Ga,National Democratic Congress (NDC)
GHA0059,Urban,Eastern,Akan,National Democratic Congress (NDC)
GHA0064,Urban,Central,Akan,New Patriotic Party (NPP)
GHA0068,Rural,Ashanti,Akan,New Patriotic Party (NPP)
GHA0074,Rural,Ashanti,Akan,New Patriotic Party (NPP)
GHA0082,Urban,Eastern,Akan,National Democratic Congress (NDC)
GHA0087,Rural,Western North,Akan,New Patriotic Party (NPP)
GHA0092,Rural,Western,Akan,New Patriotic Party (NPP)
GHA0093,Rural,Western,Akan,National Democratic Congress (NDC)
GHA0104,Rural,Brong-Ahafo,Akan,National Democratic Congress (NDC)
GHA0106,Rural,Western North,Akan,New Patriotic Party (NPP)
GHA0107,Urban,Central,Ewe_Ga,National Democratic Congress (NDC)
GHA0108,Rural,Brong-Ahafo,Akan,National Democratic Congress (NDC)
GHA0110,Rural,Greater Accra,Ewe_Ga,National Democratic Congress (NDC)
GHA0111,Rural,Western North,Akan,New Patriotic Party (NPP)
GHA0113,Rural,Greater Accra,Ewe_Ga,National Democratic Congress (NDC)
GHA0114,Rural,Greater Accra,Ewe_Ga,National Democratic Congress (NDC)
GHA0119,Urban,Greater Accra,Akan,National Democratic Congress (NDC)
GHA0130,Rural,Ashanti,Akan,New Patriotic Party (NPP)
GHA0139,Rural,Ashanti,Akan,New Patriotic Party (NPP)
GHA0140,Rural,Ashanti,Akan,New Patriotic Party (NPP)
GHA0142,Rural,Ashanti,Akan,New Patriotic Party (NPP)
GHA0144,Rural,Brong-Ahafo,Akan,National Democratic Congress (NDC)
GHA0145,Rural,Greater Accra,Ewe_Ga,National Democratic Congress (NDC)
GHA0152,Urban,Greater Accra,Ewe_Ga,New Patriotic Party (NPP)
GHA0157,Rural,Ashanti,Akan,New Patriotic Party (NPP)
GHA0158,Urban,Central,Akan,National Democratic Congress (NDC)
GHA0162,Rural,Ashanti,Akan,New Patriotic Party (NPP)
GHA0166,Rural,Ashanti,Akan,New Patriotic Party (NPP)
GHA0173,Rural,Ashanti,Akan,New Patriotic Party (NPP)
GHA0174,Rural,Ashanti,Akan,New Patriotic Party (NPP)
GHA0187,Rural,Western,Ewe_Ga,National Democratic Congress (NDC)
GHA0191,Urban,Ashanti,Akan,New Patriotic Party (NPP)
GHA0192,Urban,Ashanti,Ewe_Ga,National Democratic Congress (NDC)
GHA0193,Rural,Western North,Akan,New Patriotic Party (NPP)
