President,Began,Ended
"Jean-Sylvain Bailly",17 June 1789,3 July 1789
"Louis Philippe Joseph, duc d'Orléans",3 July 1789,3 July 1789
"Jean-Georges Lefranc de Pompignan",3 July 1789,18 July 1789
"François Alexandre Frédéric, duc de La Rochefoucauld-Liancourt",18 July 1789,3 August 1789
"Jacques Guillaume Thouret",3 August 1789,3 August 1789
"Isaac René Guy le Chapelier",3 August 1789,17 August 1789
"Stanislas, comte de Clermont-Tonnerre",17 August 1789,31 August 1789
"César Guillaume de La Luzerne",31 August 1789,9 September 1789
"Stanislas, comte de Clermont-Tonnerre",9 September 1789,28 September 1789
"Jean-Joseph Mounier",28 September 1789,10 October 1789
"Emmanuel Marie Michel Philippe Fréteau de Saint-Just",10 October 1789,28 October 1789
"Armand Gaston Camus",28 October 1789,12 November 1789
"Jacques Guillaume Thouret",12 November 1789,23 November 1789
"Raymond de Boisgelin de Cucé",23 November 1789,5 December 1789
"Emmanuel Marie Michel Philippe Fréteau de Saint-Just",5 December 1789,22 December 1789
"Jean-Nicolas Démeunier",22 December 1789,4 January 1790
"François-Xavier-Marc-Antoine de Montesquiou-Fézensac,François-Xavier de Montesquiou-Fézensac",4 January 1790,18 January 1790
"Gui-Jean-Baptiste Target",18 January 1790,2 February 1790
"Jean-Xavier Bureau de Pusy",2 February 1790,16 February 1790
"Charles Maurice de Talleyrand,Charles Maurice de Talleyrand-Périgord",16 February 1790,28 February 1790
"François-Xavier-Marc-Antoine de Montesquiou-Fézensac,François-Xavier de Montesquiou-Fézensac",28 February 1790,15 March 1790
"Jean-Paul Rabaut Saint-Étienne",15 March 1790,27 March 1790
"Jacques-Francois Menou,Jean-François, baron de Menou",27 March 1790,12 April 1790
"Charles François, Marquis de Bonnay",12 April 1790,27 April 1790
"François Henri, comte de Virieu",27 April 1790,29 April 1790
"Jean-Louis Gouttes",29 April 1790,8 May 1790
"Jacques Guillaume Thouret",8 May 1790,27 May 1790
"Bon-Albert Briois de Beaumetz",27 May 1790,8 June 1790
"Emmanuel Joseph Sieyès",8 June 1790,21 June 1790
"Louis-Michel Le Peletier de Saint-Fargeau",21 June 1790,5 July 1790
"Charles François, Marquis de Bonnay",5 July 1790,20 July 1790
"Jean-Baptiste Treilhard",20 July 1790,31 July 1790
"Antoine Balthazar Joachim d'André,Antoine d'André",31 July 1790,16 August 1790
"Pierre Samuel du Pont de Nemours,Samuel-Pierre Du Pont de Nemours",16 August 1790,30 August 1790
"Joseph-Henri baron de Jessé",30 August 1790,11 September 1790
"Jean-Xavier Bureau de Pusy",11 September 1790,25 September 1790
"Jean-Louis Emmery",25 September 1790,9 October 1790
"Philippe-Antoine Merlin,Philippe-Antoine Merlin (known as Merlin de Douai)",9 October 1790,25 October 1790
"Antoine Barnave",25 October 1790,8 November 1790
"Charles-Antoine Chasset",8 November 1790,20 November 1790
"Alexandre de Lameth",20 November 1790,4 December 1790
"Jérôme Pétion de Villeneuve",4 December 1790,20 December 1790
"Charles François, Marquis de Bonnay",20 December 1790,20 December 1790
"Antoine Balthazar Joachim d'André,Antoine d'André",20 December 1790,4 January 1791
"Jean-Louis Emmery",4 January 1791,18 January 1791
"Henri Grégoire,Henri Jean-Baptiste Grégoire",18 January 1791,29 January 1791
"Honoré-Gabriel Riqueti, comte de Mirabeau",29 January 1791,14 February 1791
"Adrien Duport",14 February 1791,26 February 1791
"Louis-Marie, vicomte de Noailles",26 February 1791,14 March 1791
"Anne-Pierre, marquis de Montesquiou-Fézensac",14 March 1791,29 March 1791
"François Denis Tronchet",29 March 1791,9 April 1791
"Jean-Baptiste-Charles Chabroud",9 April 1791,23 April 1791
"Jean-François Reubell",23 April 1791,9 May 1791
"Antoine Balthazar Joachim d'André,Antoine d'André",9 May 1791,24 May 1791
"Jean-Xavier Bureau de Pusy",24 May 1791,6 June 1791
"Luc Dauchy",6 June 1791,19 June 1791
"Alexandre, vicomte de Beauharnais",19 June 1791,3 July 1791
"Charles de Lameth",3 July 1791,19 July 1791
"Jacques Defermon des Chapelières",19 July 1791,30 July 1791
"Alexandre, vicomte de Beauharnais",30 July 1791,13 August 1791
"Charles Louis Victor, prince de Broglie",13 August 1791,27 August 1791
"Théodore Vernier",27 August 1791,10 September 1791
"Jacques Guillaume Thouret",10 September 1791,30 September 1791
