krnr,name,electoraldistrict,n245pop,n245wb,n245as,n245us,n245gs,n245dnvp,n245dvfp,n245dvp,n245z,n245ddp,n245spd,n245kpd,n245bvpx,n245wpx,n245dsp,n245uspd,n245x,n24dpop,n24dwb,n24das,n24dus,n24dgs,n24ddnvp,n24dnsfb,n24ddvp,n24dz,n24dddp,n24dspd,n24dkpd,n24dbvpx,n24dwpx,n24ddszx,n24duspd,n24dx,n285pop,n285wb,n285as,n285us,n285gs,n285spd,n285dnvp,n285zx,n285dvp,n285kpd,n285ddpx,n285wp,n285nsda,n285dbpx,n285dlvx,n285vrp,n285x,n309pop,n309wb,n309as,n309us,n309gs,n309spd,n309dnvp,n309zx,n309kpd,n309dvp,n309dstp,n309wp,n309nsda,n309dlvx,n309kvp,n309csvd,n309x,n327pop,n327wb,n327as,n327us,n327gs,n327spd,n327nsda,n327kpd,n327zx,n327dnvp,n327dvp,n327dlvx,n327dstp,n327wp,n327csvd,n327x,n32npop,n32nwb,n32nas,n32nus,n32ngs,n32nnsda,n32nspd,n32nkpd,n32nzx,n32ndnvp,n32ndvp,n32ndstp,n32ncsvd,n32nwp,n32nvb,n32nx,n333pop,n333wb,n333as,n333us,n333gs,n333nsda,n333spd,n333kpd,n333zx,n333kf,n333dvp,n333csvd,n333dbpx,n333dhp,n333dstp,n333x,c25pop,c25prot,c25kath,c25juden,c33pop1,c33erwp,c33erlos,c33selb,c33mith,c33beamt,c33angs,c33arbei,c33hsang,shareprotestants,shareunemployed,shareblue,sharewhite,shareself,sharedomestic,n327no
6,"GERDAUEN",1,34528,19947,15923,130,15793,6210,517,828,84,647,6325,855,0,0,181,67,79,34528,19621,15302,174,15128,5593,531,778,39,510,7110,286,0,130,78,13,60,35558,19504,15353,153,15200,6581,5330,42,847,901,507,129,312,287,0,80,184,35493,19746,15473,65,15408,5978,2785,38,1265,403,279,80,3430,115,0,906,129,35493,20775,17420,76,17344,6792,6710,1747,62,1440,67,8,120,20,341,37,35493,20610,16172,67,16105,5589,6078,1716,48,1879,131,117,417,20,8,102,35493,20724,17875,131,17744,8915,5125,1069,47,2122,61,332,4,0,69,0,35493,34459,335,54,35407,15973,1207,2320,3256,405,796,7456,533,.9708675,.075565,.4667877,.0751894,.1452451,.2372128,3279
7,"HEILIGENBEIL",1,98387,56329,46219,693,45526,14492,1194,1957,17398,746,6645,1969,0,0,593,151,381,98387,56947,45392,475,44917,15021,749,1726,16750,807,7979,985,0,500,80,48,272,98439,56363,46000,424,45576,11078,13415,14439,1926,836,838,1020,174,108,0,947,795,98439,58623,47329,184,47145,7810,8111,17075,2523,1287,404,1372,5052,938,0,2005,568,98439,61965,51175,228,50947,9162,14006,3904,17730,5046,229,66,124,103,463,114,98439,61017,47435,215,47220,10691,9014,3646,16090,6370,283,96,605,72,40,313,98439,61024,52726,288,52438,20388,7811,2188,15566,5614,171,586,19,0,95,0,98439,48365,48802,201,101666,45425,3822,8072,10820,1287,2738,17192,1494,.4913195,.0841387,.37847,.0886076,.1776995,.2710842,10562
8,"HEILSBERG",1,54067,29386,23715,457,23258,3547,82,582,15163,204,1413,944,0,0,167,42,1114,54067,30110,22499,315,22184,4001,73,395,12122,190,1493,825,0,2802,44,9,230,52757,29715,22448,236,22212,2838,5598,11407,421,584,214,379,48,160,0,325,238,52757,30183,23600,103,23497,2070,2651,13269,885,335,175,782,1098,1762,0,271,199,52757,31709,24701,96,24605,2203,4411,1620,13156,2901,71,83,26,40,43,51,52757,31610,23027,99,22928,3492,2054,1687,12073,3178,69,21,38,22,83,211,52757,31741,26435,157,26278,9670,1731,986,10767,2988,46,61,11,0,18,0,52757,3238,49119,146,53672,26408,1811,5547,9261,619,1009,7601,560,.0613757,.0685777,.2878295,.061648,.21005,.3718949,6912
9,"KOENIGSBERG (PR) L",1,104903,61597,47952,546,47406,15688,2227,4480,387,1348,10527,9724,0,0,2409,351,265,104903,62740,47346,511,46835,16804,1256,4929,318,1796,15286,4857,0,518,700,81,290,105699,62161,46734,432,46302,16386,14430,282,4946,6085,1757,489,276,237,0,336,1078,105086,65882,49951,193,49758,12666,9376,277,9206,2883,1429,496,8949,499,0,3518,459,105086,78453,63523,251,63272,15593,26095,10764,909,7174,837,46,573,91,1081,109,105086,67427,49005,190,48815,15068,13232,10271,303,7284,635,272,1268,39,34,409,105086,67591,55746,329,55417,26634,11720,7744,295,6856,388,1573,16,0,191,0,105129,101203,1540,181,114241,48966,4348,7338,8322,1718,2745,22488,2007,.9626554,.0887963,.4592575,.0911449,.1498591,.2109423,14679
10,"KOENIGSBERG (PR) S",1,260895,193427,137918,3114,134804,22967,13871,28008,4325,7054,17959,27468,0,0,11027,1244,881,260895,187756,140103,2078,138025,28728,7041,31690,4140,8136,27956,23220,0,2396,2176,547,1995,286666,205886,157018,1336,155682,38958,17733,3910,40385,31613,8047,2860,2226,30,0,2160,7760,287312,220184,174119,677,173442,36633,11493,4152,36994,21881,6556,2768,43510,167,0,7962,1326,287312,213832,171483,846,170637,37926,75760,33878,4721,10478,3033,52,1798,256,2502,233,287312,223949,175630,702,174928,62731,37369,38267,4619,18891,6174,2039,3213,317,34,1274,287312,226176,197500,1483,196017,100041,33929,32066,5014,15968,3329,3720,24,0,1926,0,287312,256683,13537,4061,315794,137102,32157,15720,2966,14729,26084,38144,7302,.8933946,.234548,.2782162,.2976835,.1146592,.0748931,41503
11,"LABIAU",1,51991,28201,20638,265,20373,9609,2692,1146,69,645,1626,3959,0,0,271,161,195,51991,28495,19635,284,19351,8754,2125,1334,60,456,2968,3226,0,308,38,14,68,50003,28463,18109,199,17910,4328,5620,68,1159,3193,467,387,130,82,0,103,2373,50003,29472,18611,58,18553,3275,3706,56,3571,694,264,186,4428,367,0,1822,184,50003,31040,22223,75,22148,3870,11339,4404,66,1948,112,23,98,21,215,52,50003,30801,20077,67,20010,8721,3158,4342,54,3036,233,53,249,16,14,134,50003,30835,24844,122,24722,15255,2765,3217,46,2716,103,566,10,0,44,0,50003,48851,361,112,51014,25219,1741,5411,8562,564,883,7668,390,.9769614,.0690353,.3040565,.0573774,.2145604,.3549705,8742
12,"MOHRUNGEN",1,52290,30110,23200,310,22890,12221,1786,1353,522,431,4842,1111,0,0,339,111,174,52290,30944,23135,262,22873,12660,1251,1175,563,413,5842,542,0,254,71,27,75,53892,30309,22657,267,22390,7069,10185,482,1676,271,519,380,73,141,0,272,1322,53892,31564,22772,117,22655,5991,8447,446,652,1249,293,423,3371,703,0,797,283,53892,32929,25857,99,25758,5968,12468,1957,418,4274,240,19,53,22,287,52,53892,32768,23537,87,23450,9157,5350,1783,388,5792,279,36,382,16,27,240,53892,32939,28147,169,27978,15791,4790,674,364,5837,170,305,6,0,41,0,53892,51071,2042,149,53767,26147,1828,4818,7120,585,1045,10140,611,.9476545,.0699124,.3878074,.0623398,.1842659,.2956744,6973
13,"PREUSSISCH EYLAU",1,90337,51610,41776,476,41300,18798,1428,2539,592,1196,10369,4858,0,0,873,180,467,90337,52721,41094,545,40549,17462,865,2511,490,1177,13611,2047,0,1709,256,42,379,91594,53252,41607,388,41219,13484,17843,460,2606,3083,1125,643,175,773,0,406,621,91539,54136,40652,120,40532,10491,11714,524,3939,1489,753,461,7412,520,0,2959,270,91539,57046,45760,175,45585,12386,18987,6048,574,6074,372,45,196,60,756,87,91539,56780,42991,134,42857,16130,11981,4900,499,7305,517,135,1050,38,20,282,91539,57187,48297,287,48010,25943,10419,2793,462,6983,318,963,14,0,115,0,91543,86848,2552,218,94412,43290,3592,6913,9102,1047,2229,19195,1212,.9487126,.0829753,.4434049,.0756757,.1596905,.2382536,11111
14,"PREUSSISCH HOLLAND",1,40084,23509,18303,169,18134,11934,944,913,491,482,1857,1051,0,0,193,108,161,40084,22621,17531,253,17278,11010,594,1159,513,449,2563,759,0,121,29,14,67,38069,22140,16583,206,16377,3380,7996,413,2000,1003,568,231,80,35,0,180,491,38069,22529,17010,85,16925,2501,5287,445,1209,1547,154,122,4458,208,0,710,284,38069,23402,19395,72,19323,3777,10866,1427,449,2357,128,15,25,19,240,20,38069,23324,17891,58,17833,8667,3074,1476,428,3389,196,22,389,4,28,160,38069,23404,20119,96,20023,13104,2339,754,375,2985,137,293,16,0,20,0,38069,35768,1737,104,37107,19078,979,3251,4789,467,770,8333,489,.9395571,.0513157,.4367858,.0648391,.1704057,.2766537,3935
15,"RASTENBURG",1,51430,27199,22662,250,22412,9933,745,1593,826,750,4709,3267,0,0,378,75,136,51430,27764,22691,281,22410,10192,338,1744,862,826,6284,1652,0,344,66,34,68,52277,27954,23592,280,23312,7573,9507,673,1686,2106,519,261,215,202,0,217,353,52250,29397,23355,91,23264,6058,6182,692,2645,601,823,104,5429,69,0,471,190,52250,30096,25690,123,25567,6576,10904,3472,654,3475,117,19,113,26,165,46,52250,30280,23697,98,23599,8648,6029,3382,606,4288,186,125,170,11,8,146,52250,30513,26401,183,26218,14507,4674,2239,590,3871,102,141,13,0,81,0,52250,47547,3895,142,52640,22461,2222,2888,3307,1224,1718,10335,767,.9099904,.098927,.4601309,.1309826,.1285784,.1813811,4283
