kreis_id,name,district_id,n327pop,n327gs,n327nsda,n327kpd,n327zx,c33erlos,c33arbei,c33land,c33selb,c25prot,c25kath,c25pop,combined_votes,share_nazi,share_kpd,share_zentrum,total_workforce,share_unemp,share_ind_worker,share_ag_worker,share_employer,total_christian,share_prot,share_kath
0,GERDAUEN,1,35493,17344,6710,8539,62,1207,7456,3789,2320,34459,335,35493,15311,0.43824701195219123,0.5577036117823787,0.004049376265430083,14772,0.08170863796371514,0.5047386948280531,0.25649878147847277,0.157053885729759,34794,0.9903719032017014,0.009628096798298557
1,HEILIGENBEIL,1,98439,50947,14006,13066,17730,3822,17192,12314,8072,48365,48802,98439,44802,0.31261997232266414,0.2916387661265122,0.3957412615508236,41400,0.09231884057971014,0.4152657004830918,0.29743961352657006,0.194975845410628,97167,0.4977512941636564,0.5022487058363436
2,HEILSBERG,1,52757,24605,4411,3823,13156,1811,7601,9821,5547,3238,49119,52757,21390,0.20621785881252921,0.17872837774661057,0.6150537634408603,24780,0.07308313155770783,0.3067393058918483,0.3963276836158192,0.22384987893462469,52357,0.061844643505166455,0.9381553564948335
3,KOENIGSBERG (PR) L,1,105086,63272,26095,26357,909,4348,22488,10329,7338,101203,1540,105129,53361,0.4890275669496449,0.4939375199115459,0.017034913138809244,44503,0.09770127856548996,0.5053142484776307,0.2320967125811743,0.16488776037570502,102743,0.9850111443115346,0.014988855688465395
4,KOENIGSBERG (PR) S,1,287312,170637,75760,71804,4721,32157,38144,10268,15720,256683,13537,287312,152285,0.4974882621400663,0.4715106543651706,0.031001083494763108,96289,0.3339633810715658,0.3961407845132881,0.10663731059622594,0.16325852381892011,270220,0.9499037821034713,0.05009621789652875
5,LABIAU,1,50003,22148,11339,8274,66,1741,7668,8952,5411,48851,361,50003,19679,0.5761979775395091,0.42044819350576756,0.003353828954723309,23772,0.0732374221773515,0.3225643614336194,0.37657748611812214,0.22762073027090696,49212,0.9926643907989922,0.007335609201007884
6,MOHRUNGEN,1,53892,25758,12468,7925,418,1828,10140,7731,4818,51071,2042,53892,20811,0.5991062418913075,0.38080822641872086,0.02008553168997165,24517,0.07456050903454746,0.4135905698087042,0.31533221846065995,0.19651670269608842,53113,0.9615536685933764,0.03844633140662362
7,PREUSSISCH EYLAU,1,91539,45585,18987,18434,574,3592,19195,10314,6913,86848,2552,91543,37995,0.4997236478484011,0.485169101197526,0.015107250954072905,40014,0.08976858099665118,0.4797071025141201,0.25775978407557354,0.17276453241365522,89400,0.9714541387024609,0.02854586129753915
8,PREUSSISCH HOLLAND,1,38069,19323,10866,5204,449,979,8333,5278,3251,35768,1737,38069,16519,0.6577880016950178,0.31503117622132093,0.027180822083661238,17841,0.05487360573958859,0.4670702314892663,0.295835435233451,0.18222072753769408,37505,0.9536861751766431,0.046313824823356886
9,RASTENBURG,1,52250,25567,10904,10048,654,2222,10335,4074,2888,47547,3895,52250,21606,0.5046746274183097,0.46505600296214017,0.030269369619550124,19519,0.11383779906757518,0.5294840924227675,0.20871970900148573,0.14795839950817152,51442,0.924283659266747,0.07571634073325298
10,WEHLAU,1,46947,22603,9660,10195,110,1785,8381,4856,3128,45494,598,46947,19965,0.4838467317806161,0.5106436263461057,0.005509641873278237,18150,0.09834710743801653,0.46176308539944905,0.2675482093663912,0.17234159779614325,46092,0.9870259481037924,0.012974051896207584
11,ANGERBURG,1,38635,20133,10287,7946,107,1762,7137,5500,3479,37141,554,38638,18340,0.5609051254089422,0.4332606324972737,0.0058342420937840785,17878,0.09855688555766864,0.39920572771003465,0.3076406756907932,0.19459671104150353,37695,0.9853030905955698,0.014696909404430296
12,GOLDAP,1,42672,21552,12498,6106,105,1626,6321,8005,4946,41132,587,42672,18709,0.6680207386819178,0.32636698914960716,0.005612272168475065,20898,0.07780648865920184,0.30246913580246915,0.38305100966599676,0.2366733658723323,41719,0.9859296723315516,0.014070327668448429
13,INSTERBURG L,1,127634,63070,31170,22607,258,3680,25568,17082,10744,123451,1233,127634,54035,0.5768483390395114,0.41837697788470435,0.004774683075784214,57074,0.06447769562322599,0.44797981567789186,0.29929565125976804,0.18824683743911413,124684,0.9901110006095409,0.00988899939045908
14,INSTERBURG S,1,39311,21372,9413,8506,248,3437,4262,1455,2143,35434,1174,39311,18167,0.5181372818847361,0.468211592447845,0.013651125667418947,11297,0.30424006373373463,0.37726830131893424,0.12879525537753386,0.1896963795697973,36608,0.967930506993007,0.03206949300699301
15,OLETZKO (-33/TREUBURG),1,40107,17988,11451,4155,84,1060,6362,8209,4732,38070,973,40107,15690,0.7298279158699809,0.26481835564053535,0.005353728489483747,20363,0.052055198153513726,0.312429406276089,0.4031331336247115,0.23238226194568581,39043,0.9750787593166509,0.024921240683349128
16,STALLUPOENEN,1,99241,45739,26238,13651,415,2660,15098,17581,11013,95080,1693,99241,40304,0.6510023818975784,0.3387008733624454,0.010296744739976181,46352,0.05738695201933034,0.325724887814981,0.37929323438039353,0.23759492578529512,96773,0.9825054509005611,0.017494549099438893
17,TILSIT-RAGNIT,1,108174,53956,25657,20925,639,6738,16191,12951,9725,102270,2047,108180,47221,0.5433387687681328,0.44312911628300966,0.013532114948857499,45605,0.14774695757044184,0.3550268610897928,0.283982019515404,0.21324416182436137,104317,0.9803771197407901,0.01962288025920991
18,ALLENSTEIN L,1,55808,21377,4956,4951,8804,2200,6181,12006,5982,3670,51899,55808,18711,0.2648709315375982,0.2646037090481535,0.4705253594142483,26369,0.08343130190754294,0.2344040350411468,0.4553073685008912,0.22685729455041906,55569,0.06604401734780183,0.9339559826521981
19,ALLENSTEIN S,1,38105,20304,7230,4032,7095,2960,5091,1612,2237,13583,23497,38105,18357,0.39385520509887234,0.21964373263605164,0.38650106226507597,11900,0.24873949579831933,0.42781512605042016,0.1354621848739496,0.18798319327731092,37080,0.3663160733549083,0.6336839266450917
20,JOHANNISBURG,1,55239,23146,15765,5398,182,1778,7403,10899,5398,52355,1514,55242,21345,0.7385804638088546,0.25289294916842353,0.00852658702272195,25478,0.06978569746447916,0.29056440850930215,0.427780830520449,0.21186906350576967,53869,0.9718947817854424,0.028105218214557536
21,LOETZEN,1,45757,21176,13643,5322,240,1228,7626,6740,4150,43316,1286,45757,19205,0.7103879198125488,0.27711533454829473,0.01249674563915647,19744,0.06219611021069692,0.38624392220421394,0.34136952998379255,0.2101904376012966,44602,0.9711672122326354,0.02883278776736469
22,LYCK,1,58425,26138,18457,5016,311,1963,8276,10429,6074,54802,1900,58425,23784,0.7760258997645476,0.21089808274470231,0.013076017490750083,26742,0.07340513050631965,0.3094757310597562,0.38998579014284646,0.2271333482910777,56702,0.9664914817819478,0.03350851821805227
23,NEIDENBURG,1,38594,15913,10976,2642,321,1159,5689,7533,3858,34860,2921,38594,13939,0.787430949135519,0.18954013917784632,0.023028911686634623,18239,0.06354515050167224,0.3119140303744723,0.41301606447721917,0.21152475464663634,37781,0.9226860061935894,0.07731399380641063
24,ORTELSBURG,1,71039,31131,20557,5718,1784,2667,7307,14413,7898,59980,7966,71039,28059,0.7326348052318329,0.20378488185608895,0.06358031291207812,32285,0.08260802230137836,0.22632801610655104,0.44643023075731764,0.24463373083475298,67946,0.8827598386954346,0.1172401613045654
25,OSTERODE I. OSTPR.,1,76604,32188,16705,8861,1161,2699,12489,11103,6161,69202,6115,76604,26727,0.6250233845923597,0.3315373966401018,0.043439218767538444,32452,0.08316898804388019,0.38484530999630223,0.3421360778996672,0.18984962406015038,75317,0.9188098304499648,0.08119016955003519
26,ROESSEL,1,48965,24765,6037,5500,11581,2143,6999,7930,4643,5247,43454,48965,23118,0.2611385067912449,0.23790985379358076,0.5009516394151743,21715,0.09868754317292194,0.32231176606032697,0.3651853557448768,0.21381533502187428,48701,0.1077390607995729,0.8922609392004272
27,SENSBURG,1,51751,24660,14197,7318,810,1947,8129,8796,4925,46282,3714,51751,22325,0.6359238521836507,0.32779395296752517,0.03628219484882419,23797,0.08181703576081019,0.3415976803798798,0.36962642349876035,0.20695886036054964,49996,0.92571405712457,0.07428594287543003
28,ELBING L,1,26389,14592,6829,4179,1684,973,5031,4353,2641,20027,5799,26389,12692,0.5380554680113457,0.3292625275764261,0.1326820044122282,12998,0.07485767041083244,0.38705954762271116,0.33489767656562547,0.2031851054008309,25826,0.775458839928754,0.22454116007124603
29,ELBING S,1,68206,41417,17592,15876,3968,9946,9928,2151,3266,53055,11791,68206,37436,0.46992200021369807,0.42408376963350786,0.1059942301527941,25291,0.39326242536870826,0.3925507097386422,0.08505001779289076,0.1291368470997588,64846,0.8181692008759214,0.1818307991240786
30,MARIENBURG (WESTPR.),1,32884,19133,8721,5353,2474,2184,6393,2702,2201,20526,10312,32884,16548,0.5270123277737491,0.3234832003867537,0.14950447183949722,13480,0.16201780415430267,0.4742581602373887,0.20044510385756675,0.16327893175074185,30838,0.6656073675335625,0.3343926324664375
31,MARIENWERDER,1,41615,22188,11973,4317,1624,2272,6592,5113,3586,33342,7082,41615,17914,0.6683599419448476,0.24098470470023445,0.09065535335491794,17563,0.12936286511416045,0.37533451004953594,0.2911233843876331,0.2041792404486705,40424,0.8248070453196121,0.1751929546803879
32,ROSENBERG (WESTPR.),1,58629,31094,17709,6783,1107,2427,9607,7931,4832,51785,5501,58629,25599,0.6917848353451307,0.2649712879409352,0.04324387671393414,24797,0.09787474291244909,0.3874258982941485,0.3198370770657741,0.19486228172762834,57286,0.9039730475159725,0.09602695248402751
33,STUHM,1,36682,17990,5620,5583,4110,1803,7394,4247,2709,14526,21116,36682,15313,0.3670084242147195,0.36459217658198917,0.2683993992032913,16153,0.11162013248313007,0.4577477867888318,0.2629232959821705,0.16770878474586765,35642,0.4075528870433758,0.5924471129566242
34,BERLIN-MITTE BA 1,2,295837,164141,46640,92407,8219,57886,42270,9449,21389,211100,33721,295837,147266,0.3167058248339739,0.6274836011027665,0.05581057406325968,130994,0.44189810220315434,0.322686535261157,0.07213307479731897,0.1632822877383697,244821,0.8622626326989923,0.13773736730100766
35,FRIEDRICHSHAIN BA 5 (TEIL),2,535170,340225,80097,217563,14919,102972,94165,11673,27768,402244,57256,535170,312579,0.2562456211069842,0.6960256447170156,0.047728734176000306,236578,0.4352560254968763,0.3980294025649046,0.04934102072043892,0.11737355121778019,459500,0.8753949945593036,0.12460500544069641
36,KREUZBERG BA 6,2,608917,356670,107217,184049,18797,90970,81158,20990,43238,463874,65176,608917,310063,0.3457910166643553,0.5935858196560054,0.0606231636796393,236356,0.3848855116857622,0.34337186278325915,0.08880671529387872,0.18293591023709996,529050,0.8768055949343162,0.12319440506568377
37,PRENZLAUER BERG BA 4,2,384425,242411,60557,150881,9995,71545,66354,9666,22411,284435,36776,384425,221433,0.2734777562513266,0.6813844368273925,0.04513780692128093,169976,0.42091236409846094,0.39037275850708336,0.05686685179084106,0.13184802560361464,321211,0.8855082796043722,0.1144917203956278
38,TIERGARTEN BA 2,2,283581,157070,46728,77924,10366,38613,39581,10829,18426,211998,34493,283581,135018,0.34608718837488334,0.5771378630997348,0.0767749485253818,107449,0.3593611853065175,0.36837011047101414,0.10078269690737,0.17148600731509833,246491,0.8600638562868421,0.13993614371315788
39,CHARLOTTENBG BA 7 (TEIL),3,345139,203013,67265,92221,13596,44869,41147,18638,28935,252516,37114,345139,173082,0.3886308223847656,0.5328168151512,0.0785523624640344,133589,0.33587346263539664,0.308011887206282,0.13951747524122496,0.21659717491709646,289630,0.8718571971135587,0.1281428028864413
40,KOEPENICK BA 16   (TEIL),3,65754,69019,21044,37114,2086,12018,12986,2912,5034,52602,4350,65754,60244,0.3493127946351504,0.6160613505079344,0.03462585485691521,32950,0.36473444613050077,0.3941122913505311,0.08837632776934749,0.15277693474962065,56952,0.9236198904340497,0.07638010956595027
41,SPANDAU BA 8      (TEIL),3,111629,91432,31915,45345,4261,18336,24523,3087,5683,90583,11398,111629,81521,0.39149421621422703,0.5562370432158585,0.0522687405699145,51629,0.3551492378314513,0.47498498905653797,0.05979197737705553,0.11007379573495515,101981,0.8882340828193487,0.11176591718065129
