village_name,published,huguenot
ARRAS (ARTOIS),True,False
"AURAY, REUNI A VANNES (SEN)",True,False
AUTUN,True,True
"BOULAY, REUNI A SARREGUEMINES",True,True
CALAIS,True,False
CARCASSONNE,True,False
"CARIGNAN, REUNI A SEDAN",True,False
"CHATEAU-SALINS, REUNI A SARREGUEMINES",True,True
COMMINGES,True,False
"COUTANCES, BAILLIAGE PRINCIPALE",True,False
"DIGNE, REUNI A FORCALQUIER",True,True
DOLE,True,False
"DRAGUIGNAN, CENTRE DE REUNION",True,True
"FORCALQUIER, CENTRE DE REUNION",True,False
"LAMARCHE, REUNI A BAR-LE-DUC",True,True
LIMOGES,True,True
"LONGWY, REUNI A METZ (BAILL)",True,False
"LUNEVILLE, REUNI A NANCY",True,False
MELUN,True,False
MONTREUIL-SUR-MER,True,False
"NANCY, CENTRE DE REUNION",True,False
PAMIERS,True,True
PARIS (HORS-LES-MURS),True,True
REIMS,True,True
"SARRELOUIS, REUNI A METZ (BAILL)",True,False
SAUMUR,True,False
SENLIS,True,True
SENS,True,True
"THIAUCOURT, REUNI A BAR-LE-DUC",True,False
"TOULON, CENTRE DE REUNION",True,False
"VERDUN, CENTRE DE REUNION",True,False
VILLEFRANCHE (BEAUJOLAIS),True,True
