id8102,year,poor_support,mid_support,rich_support,question_text,policy_change
1,1981,0.7333024740219116,0.8607293963432312,0.891196072101593,"Now let me ask you about a number of specific things Presdent Reagan said he wants to do. For each, tell me if you favor or oppose it. READ EACH ITEM Item: His call to cut 41.4 billion dollars from the 1982 federal budget",0
2,1981,0.6822428107261658,0.7395572066307068,0.7894070744514465,"In addition to the tax cuts the President called for in his speech before Congress, President Reagan and his economic advisors are working on another tax cut program designed to stimulate investment to make the economy grow. Would you favor or oppose (READ EACH ITEM)? Item: Reducing the maximum capital gains tax that indiviuals pay when they sell stocks or bonds, precious metals, real estate, coins, antiques, art, or other such investments from 28% to 17% to stimulate more investment",0
3,1981,0.62517249584198,0.7407212257385254,0.7516785860061646,"Now let me ask you about a number of specific things Presdent Reagan said he wants to do. For each, tell me if you favor or oppose it. READ EACH ITEM Item: His call to cut the school lunch program by 1.6 billion dollars by eliminating free school lunches for children of families who can afford to pay",1
4,1981,0.7645454406738281,0.7853991985321045,0.8166108727455139,"In addition to the tax cuts the President called for in his speech before Congress, President Reagan and his economic advisors are working on another tax cut program designed to stimulate investment to make the economy grow. Would you favor or oppose (READ EACH ITEM)? Item: Reducing the maximum tax rate that individuals pay on income other than their salaries from 70% to 50%",1
7,1981,0.7404625415802002,0.807033121585846,0.7789890766143799,"In addition to the tax cuts the President called for in his speech before Congress, President Reagan and his economic advisors are working on another tax cut program designed to stimulate investment to make the economy grow. Would you favor or oppose (READ EACH ITEM)? Item: Increasing the investment tax credits that corporations receive for investing in new plant and equipment from 10% to 20% to stimulate investment by business in modern technology and growth",0
11,1981,0.7470266819000244,0.8087974190711975,0.8413902521133423,"Now let me ask you about a number of specific things Presdent Reagan said he wants to do. For each, tell me if you favor or oppose it. READ EACH ITEM Item: His call to speed up business depreciation write-offs for new plants, machinery, and vehicles to stimulate the growth of business",1
12,1981,0.6522789597511292,0.6766880750656128,0.7401397228240967,"In addition to the tax cuts the President called for in his speech before Congress, President Reagan and his economic advisors are working on another tax cut program designed to stimulate investment to make the economy grow. Would you favor or oppose (READ EACH ITEM)? Item: Eliminating double taxation on corporation profits, by ending taxes paid by stockholders on dividends they receive, on which corporations have already paid income tax, in order to stimulate more investment by the individual",0
14,1981,0.539135217666626,0.7438852190971375,0.75239497423172,"Now let me ask you about a number of specific things Presdent Reagan said he wants to do. For each, tell me if you favor or oppose it. READ EACH ITEM Item: His wanting to cut the food stamp program by 1.8 billion dollars",1
15,1981,0.4687978625297546,0.6393606066703796,0.6909337043762207,"Now let me ask you about a number of specific things Presdent Reagan said he wants to do. For each, tell me if you favor or oppose it. READ EACH ITEM Item: His cutting 1.2 billion dollars for unemployment compensation programs by shortening the time people can receive such benefits",1
19,1981,0.610612154006958,0.6735581159591675,0.7401248812675476,"Now let me ask you about a number of specific things Presdent Reagan said he wants to do. For each, tell me if you favor or oppose it. READ EACH ITEM Item: His wanting to give every taxpayer, regardless of income, a 10% cut in federal income tax rates every year for the next three years, which some people think will be inflationary and favor the rich, but which others think will stimulate economic growth",1
20,1981,0.6064633131027222,0.8046743273735046,0.8174076080322266,"Now let me ask you about a number of specific things Presdent Reagan said he wants to do. For each, tell me if you favor or oppose it. READ EACH ITEM Item: His call to cut federal welfare spending by 520 million dollars",1
22,1981,0.5754668116569519,0.7051116228103638,0.7034724354743958,"Some Democrats in Congress are working on a tax bill as a substitute for the Kemp-Roth tax proposal which calls for a reduction of the federal personal income tax rate 10% each year for the next three years, which many congressmen think is too inflationary. Let me ask you if you favor or oppose some of these new tax cut proposals. Item: Reducing the maximum capital gains tax that individuals pay when they sell stocks or bonds, precious metals, real estate, coins, antiques, art, or other such investments from 28% to 17% to stimulate more investment",0
24,1981,0.7389702200889587,0.7620344758033752,0.841737687587738,"Some Democrats in Congress are working on a tax bill as a substitute for the Kemp-Roth tax proposal which calls for a reduction of the federal personal income tax rate 10% each year for the next three years, which many congressmen think is too inflationary. Let me ask you if you favor or oppose some of these new tax cut proposals. Item: Speeding up business depreciation write-offs for new plants, machinery, and vehicles to stimulate the growth of business",1
26,1981,0.5349093675613403,0.7773776650428772,0.7981575727462769,"Some Democrats in Congress are working on a tax bill as a substitute for the Kemp-Roth tax proposal which calls for a reduction of the federal personal income tax rate 10% each year for the next three years, which many congressmen think is too inflationary. Let me ask you if you favor or oppose some of these new tax cut proposals. Item: Eliminating the so-called marriage penalty, which taxes a married couple who are both working more than if they were single and earning the same amount",0
28,1981,0.7012876272201538,0.8760369420051575,0.7819651365280151,"Some Democrats in Congress are working on a tax bill as a substitute for the Kemp-Roth tax proposal which calls for a reduction of the federal personal income tax rate 10% each year for the next three years, which many congressmen think is too inflationary. Let me ask you if you favor or oppose some of these new tax cut proposals. Item: Cutting the federal personal income tax, mainly for those families earning under $50,000 a year",0
29,1981,0.6330968737602234,0.7697755098342896,0.8072158098220825,"Some Democrats in Congress are working on a tax bill as a substitute for the Kemp-Roth tax proposal which calls for a reduction of the federal personal income tax rate 10% each year for the next three years, which many congressmen think is too inflationary. Let me ask you if you favor or oppose some of these new tax cut proposals. Item: Reducing the maximum tax rate that individuals pay on income other than their salaries from 70% to 50% to stimulate investment",1
30,1981,0.3220367431640625,0.2496101856231689,0.3465058803558349,"As it works now, Social Security payments, payments to the handicapped and to those on government pensions, and other federal benefits are indexed to rises in the cost of living. As the Consumer Price Index goes up, the amount of benefits goes up by the same percentage. Those who favor this system feel those who get the benefits should not suffer from increases in cost of living. Others feel that by increasing the amount of benefits as prices go up, government spending goes up and that makes inflation still worse. All in all, do you favor or oppose indexing these benefits to the cost of living?",0
31,1981,0.7334504723548889,0.8210546374320984,0.8399083614349365,"Some Democrats in Congress are working on a tax bill as a substitute for the Kemp-Roth tax proposal which calls for a reduction of the federal personal income tax rate 10% each year for the next three years, which many congressmen think is too inflationary. Let me ask you if you favor or oppose some of these new tax cut proposals. Item: Increasing the amount an eligible individual can set aside for retirement in an IRA plan as a deduction against taxes from $1,500 to $10,000",0
32,1981,0.7652765512466431,0.7811259031295776,0.757611095905304,"Another proposed way of keeping government benefits in line with the cost of living would be to index the benefits to changes in wages. In other words, benefits would increase according to the annual average rise in wages. If, over the past few years, the benefits had been geared to wage increases rather than price rises, the government would have saved 6.5 billion dollars a year. Would you favor or oppose a new system, under which both price and wage increases would be looked at and the benefits would go up by whichever index went up least?",0
