Name (English),Name (Irish),Constituency,Vote
Michael Collins,Mfcheal 0 Coileain,Armagh,Y
Arthur Griffith,Art O Griobtha,Cavan,Y
Sean Milroy,Sean Mac Giolla Ri'ogh,Cavan,Y
Peter Paul Galligan,Pol O Geallagain,Cavan,Y
James Lennon,Seumas O Lionnain,Carlow/Kilkenny,N
William T. Cosgrave,Liam T. Mac Cosgair,Carlow/Kilkenny,Y
Gearoid O’Sullivan,Gearoid 0 Suileabhain,Carlow/Kilkenny,Y
Eamonn Aylward,Eamon Aidhleart,Carlow/Kilkenny,N
Eamon de Valera,Eamon de Valera,Clare,N
Brian O’Higgins,Brian O hUiginn,Clare,N
Patrick Brennan,Padraig O Braonain,Clare,Y
Sean Liddy,Sean O Lidia,Clare,Y
Sean Hayes,Sean O hAodha,"West, South, and Mid Cork",Y
Patrick O’Keeffe,Padraig O Caoimh,"West, South, and Mid Cork",Y
Sean MacSwiney,Sean Mac Suibhne,"West, South, and Mid Cork",N
Sean Hales,Sean Mac Heil,"West, South, and Mid Cork",Y
Sean Moylan,Sean O Maoileoin,"West, South, and Mid Cork",N
Daniel Corkery,Domhnall O Corcora,"West, South, and Mid Cork",N
Sean Nolan,Sean O Nuallain,"West, South, and Mid Cork",N
Thomas Hunter,Tomas O Fiachra,East Cork,N
Seamus Fitzgerald,Seumas Mac Gearailt,East Cork,N
David Ceannt,Daithf Ceannt,East Cork,N
Eoin MacNeill,Eoin MacNeill,Derry,
Joseph O’Doherty,Seosamh 0 Dochartaigh,Donegal,N
Joseph Sweeney,Seosamh Mac Suibhne,Donegal,Y
Peter J. Ward,Peadar S. Mac an Bhaird,Donegal,Y
Dr. J. P. McGinley,Dr. S. Mac Fhionnlaoigh,Donegal,Y
Patrick McGoldrick,Padraig S. Mac Ualghairg,Donegal,Y
Sam O’Flaherty,Somhairle O Flaithbheartaigh,Donegal,N
Frank Lawless,Proinnsias Laighleis,County Dublin,Y
George Gavan Duffy,S. Ghabhain Ui Dhubhthaigh,County Dublin,Y
Desmond Fitzgerald,Deasmhumhain Mac Gearailt,County Dublin,Y
James Derham,Seumas Mac Doirim,County Dublin,Y
Margaret Pearse,Bean an Phiarsaigh,County Dublin,N
James O’Dwyer,Seumas O Duibhir,County Dublin,Y
John O’Mahoney,Sean O Mathghambna,Fermanagh,N
