year,apre1
1791,0.9
1793,0.9
1795,0.92
1797,0.95
1799,0.95
1801,0.79
1803,0.9
1805,0.75
1807,0.85
1809,0.91
1811,0.88
1813,0.91
1815,0.93
1817,0.95
1829,0.83
1831,0.8
1833,0.83
1835,0.89
1837,0.91
1839,0.9
1841,0.9
1843,0.91
1845,0.87
1847,0.7
1849,0.62
1851,0.93
1853,0.87
1855,0.87
1857,0.92
1859,0.87
1861,0.92
1863,0.93
1865,0.91
1867,0.95
1869,0.95
1871,0.95
1873,0.95
1875,0.94
1877,0.93
1879,0.92
1881,0.95
1883,0.96
1885,0.97
1887,0.84
1889,0.87
1891,0.88
1893,0.96
1895,0.97
1897,0.97
1899,0.98
1901,0.95
1903,0.96
1905,0.94
1907,0.93
1909,0.92
1911,0.95
1913,0.96
1915,0.94
1917,0.95
1919,0.95
1921,0.94
1923,0.94
1925,0.88
1927,0.93
1929,0.84
1931,0.84
1933,0.8
1935,0.95
1937,0.94
1939,0.92
1941,0.93
1943,0.9
1945,0.89
1947,0.88
1949,0.83
1951,0.83
1953,0.78
1955,0.72
1957,0.75
1959,0.67
1961,0.6
1963,0.61
1965,0.63
1967,0.52
1969,0.61
1971,0.58
1973,0.64
1975,0.68
1977,0.77
1979,0.81
1981,0.84
1983,0.84
1985,0.83
1987,0.83
1989,0.83
