year,apre2m1
1791,0.05
1793,0.01
1795,0
1797,0.01
1799,0.01
1801,0.01
1803,0.02
1805,0.02
1807,0.01
1809,0
1811,0
1821,0.01
1823,0.01
1825,0.02
1827,0.05
1829,0.01
1831,0
1833,0.01
1835,0.01
1837,0.02
1839,0.03
1841,0.05
1843,0.08
1845,0.06
1847,0.02
1849,0
1851,0
1853,0
1855,0
1857,0
1859,0
1861,0
1863,0
1865,0
1867,0
1869,0
1871,0.01
1873,0.01
1875,0
1877,0
1879,0
1881,0
1883,0
1885,0.03
1887,0.03
1889,0.03
1891,0
1893,0
1895,0
1897,0
1899,0
1901,0
1903,0
1905,0.01
1907,0.01
1909,0
1911,0
1913,0
1915,0
1917,0
1919,0
1921,0
1923,0
1925,0
1927,0
1929,0
1931,0
1933,0
1935,0.02
1937,0.03
1939,0.04
1941,0.04
1943,0.08
1945,0.1
1947,0.1
1949,0.14
1951,0.18
1953,0.17
1955,0.24
1957,0.3
1959,0.32
1961,0.32
1963,0.37
1965,0.27
1967,0.29
1969,0.22
1971,0.18
1973,0.14
1975,0.08
1977,0.08
1979,0.08
1981,0.07
1983,0.07
1985,0.07
1987,0.07
1989,0.07
