senator_id,legislator,state,icpsrState,cd,icpsrLegis,party,partyCode,senator_id_v0,senator_id_v1
0,REID (D NV),NV,65,0,15054,Democratic,100,57,0
1,FRIST (R TN),TN,54,0,49502,Republican,200,85,1
2,SHELBY (R AL),AL,41,0,94659,Republican,200,3,2
3,MURKOWSKI (R AK),AK,81,0,40300,Republican,200,4,3
4,STEVENS (R AK),AK,81,0,12109,Republican,200,5,4
5,KYL (R AZ),AZ,61,0,15429,Republican,200,6,5
6,MCCAIN (R AZ),AZ,61,0,15039,Republican,200,7,6
7,PRYOR (D AR),AR,42,0,40301,Democratic,100,8,7
8,LINCOLN (D AR),AR,42,0,29305,Democratic,100,9,8
9,BOXER (D CA),CA,71,0,15011,Democratic,100,10,9
10,FEINSTEIN (D CA),CA,71,0,49300,Democratic,100,11,10
11,ALLARD (R CO),CO,62,0,29108,Republican,200,12,11
12,SALAZAR (D CO),CO,62,0,40500,Democratic,100,13,12
13,DODD (D CT),CT,1,0,14213,Democratic,100,14,13
14,LIEBERMAN (D CT),CT,1,0,15704,Democratic,100,15,14
15,BIDEN (D DE),DE,11,0,14101,Democratic,100,16,15
16,CARPER (D DE),DE,11,0,15015,Democratic,100,17,16
17,MARTINEZ (R FL),FL,43,0,40501,Republican,200,18,17
18,NELSON (D FL),FL,43,0,14651,Democratic,100,19,18
19,CHAMBLISS (R GA),GA,44,0,29512,Republican,200,20,19
20,ISAKSON (R GA),GA,44,0,29909,Republican,200,21,20
21,AKAKA (D HI),HI,82,0,14400,Democratic,100,22,21
22,INOUYE (D HI),HI,82,0,4812,Democratic,100,23,22
23,CRAIG (R ID),ID,63,0,14809,Republican,200,24,23
24,CRAPO (R ID),ID,63,0,29345,Republican,200,25,24
25,DURBIN (D IL),IL,21,0,15021,Democratic,100,26,25
26,OBAMA (D IL),IL,21,0,40502,Democratic,100,27,26
27,BAYH (D IN),IN,22,0,49901,Democratic,100,28,27
28,LUGAR (R IN),IN,22,0,14506,Republican,200,29,28
29,GRASSLEY (R IA),IA,31,0,14226,Republican,200,30,29
30,HARKIN (D IA),IA,31,0,14230,Democratic,100,31,30
31,BROWNBACK (R KS),KS,32,0,29523,Republican,200,32,31
32,ROBERTS (R KS),KS,32,0,14852,Republican,200,33,32
33,BUNNING (R KY),KY,51,0,15406,Republican,200,34,33
34,MCCONNELL (R KY),KY,51,0,14921,Republican,200,35,34
35,VITTER (R LA),LA,45,0,29918,Republican,200,36,35
36,LANDRIEU (D LA),LA,45,0,49702,Democratic,100,37,36
37,COLLINS (R ME),ME,2,0,49703,Republican,200,38,37
38,SNOWE (R ME),ME,2,0,14661,Republican,200,39,38
39,MIKULSKI (D MD),MD,52,0,14440,Democratic,100,40,39
40,SARBANES (D MD),MD,52,0,13039,Democratic,100,41,40
41,KENNEDY (D MA),MA,3,0,10808,Democratic,100,42,41
42,KERRY (D MA),MA,3,0,14920,Democratic,100,43,42
43,STABENOW (D MI),MI,23,0,29732,Democratic,100,44,43
44,LEVIN (D MI),MI,23,0,14709,Democratic,100,45,44
45,DAYTON (D MN),MN,33,0,40101,Democratic,100,46,45
46,COLEMAN (R MN),MN,33,0,40302,Republican,200,47,46
47,COCHRAN (R MS),MS,46,0,14009,Republican,200,48,47
48,LOTT (R MS),MS,46,0,14031,Republican,200,49,48
49,TALENT (R MO),MO,34,0,29369,Republican,200,50,49
50,BOND (R MO),MO,34,0,15501,Republican,200,51,50
51,BAUCUS (D MT),MT,64,0,14203,Democratic,100,52,51
52,BURNS (R MT),MT,64,0,15701,Republican,200,53,52
53,HAGEL (R NE),NE,35,0,49704,Republican,200,54,53
54,NELSON (D NE),NE,35,0,40103,Democratic,100,55,54
55,ENSIGN (R NV),NV,65,0,29537,Republican,200,56,55
56,GREGG (R NH),NH,4,0,14826,Republican,200,58,57
57,SUNUNU (R NH),NH,4,0,29740,Republican,200,59,58
58,LAUTENBERG (D NJ),NJ,12,0,14914,Democratic,100,62,61
59,BINGAMAN (D NM),NM,66,0,14912,Democratic,100,63,62
60,DOMENICI (R NM),NM,66,0,14103,Republican,200,64,63
61,CLINTON (D NY),NY,13,0,40105,Democratic,100,65,64
62,SCHUMER (D NY),NY,13,0,14858,Democratic,100,66,65
63,BURR (R NC),NC,47,0,29548,Republican,200,67,66
64,DOLE (R NC),NC,47,0,40303,Republican,200,68,67
65,CONRAD (D ND),ND,36,0,15502,Democratic,100,69,68
66,DORGAN (D ND),ND,36,0,14812,Democratic,100,70,69
67,DEWINE (R OH),OH,24,0,15020,Republican,200,71,70
68,VOINOVICH (R OH),OH,24,0,49903,Republican,200,72,71
69,INHOFE (R OK),OK,53,0,15424,Republican,200,73,72
70,COBURN (R OK),OK,53,0,29555,Republican,200,74,73
71,SMITH (R OR),OR,72,0,49705,Republican,200,75,74
72,WYDEN (D OR),OR,72,0,14871,Democratic,100,76,75
73,SANTORUM (R PA),PA,14,0,29141,Republican,200,77,76
74,SPECTER (R PA),PA,14,0,14910,Republican,200,78,77
75,CHAFEE (R RI),RI,5,0,49905,Republican,200,79,78
76,REED (D RI),RI,5,0,29142,Democratic,100,80,79
77,DEMINT (R SC),SC,48,0,29936,Republican,200,81,80
78,GRAHAM (R SC),SC,48,0,29566,Republican,200,82,81
79,THUNE (R SD),SD,37,0,29754,Republican,200,83,82
80,JOHNSON (D SD),SD,37,0,15425,Democratic,100,84,83
81,SESSIONS (R AL),AL,41,0,49700,Republican,200,2,84
82,ALEXANDER (R TN),TN,54,0,40304,Republican,200,86,85
83,CORNYN (R TX),TX,49,0,40305,Republican,200,87,86
84,HUTCHISON (R TX),TX,49,0,49306,Republican,200,88,87
85,BENNETT (R UT),UT,67,0,49307,Republican,200,89,88
86,HATCH (R UT),UT,67,0,14503,Republican,200,90,89
87,JEFFORDS (Indep VT),VT,6,0,94240,Independent,328,91,90
88,LEAHY (D VT),VT,6,0,14307,Democratic,100,92,91
89,ALLEN (R VA),VA,40,0,29148,Republican,200,93,92
90,WARNER (R VA),VA,40,0,14712,Republican,200,94,93
91,CANTWELL (D WA),WA,73,0,39310,Democratic,100,95,94
92,MURRAY (D WA),WA,73,0,49308,Democratic,100,96,95
93,BYRD (D WV),WV,56,0,1366,Democratic,100,97,96
94,ROCKEFELLER (D WV),WV,56,0,14922,Democratic,100,98,97
95,FEINGOLD (D WI),WI,25,0,49309,Democratic,100,99,98
96,KOHL (D WI),WI,25,0,15703,Democratic,100,100,99
97,ENZI (R WY),WY,68,0,49706,Republican,200,101,100
98,THOMAS (R WY),WY,68,0,15633,Republican,200,102,101
