month,Assault,Homicide,Rape,Robbery,Total
1985-01-01,292,12,29,583,916
1985-02-01,324,12,17,428,781
1985-03-01,387,9,25,402,823
1985-04-01,384,15,26,365,790
1985-05-01,391,10,24,360,785
1985-06-01,375,20,31,391,817
1985-07-01,447,6,33,492,978
1985-08-01,409,11,33,434,887
1985-09-01,387,11,36,393,827
1985-10-01,441,16,29,476,962
1985-11-01,346,10,28,445,829
1985-12-01,274,15,26,461,776
1986-01-01,282,22,14,430,748
1986-02-01,283,16,20,350,669
1986-03-01,331,12,32,386,761
1986-04-01,351,10,26,354,741
1986-05-01,357,19,29,397,802
1986-06-01,400,20,32,380,832
1986-07-01,432,13,36,409,890
1986-08-01,390,14,36,424,864
1986-09-01,390,13,28,401,832
1986-10-01,358,18,30,395,801
1986-11-01,303,21,29,374,727
1986-12-01,304,16,16,419,755
1987-01-01,335,17,16,395,763
1987-02-01,320,18,19,433,790
1987-03-01,377,19,22,323,741
1987-04-01,379,14,15,280,688
1987-05-01,419,17,22,352,810
1987-06-01,453,16,29,353,851
1987-07-01,480,19,28,394,921
1987-08-01,541,17,22,385,965
1987-09-01,456,18,23,381,878
1987-10-01,497,21,12,347,877
1987-11-01,380,20,15,386,801
1987-12-01,447,29,22,433,931
1988-01-01,424,37,16,466,943
1988-02-01,414,17,16,471,918
1988-03-01,446,27,13,428,914
1988-04-01,384,25,8,388,805
1988-05-01,478,20,13,448,959
1988-06-01,525,26,16,361,928
1988-07-01,561,27,14,434,1036
1988-08-01,557,40,18,448,1063
1988-09-01,476,27,26,461,990
1988-10-01,507,42,13,558,1120
1988-11-01,440,43,7,600,1090
1988-12-01,478,38,5,626,1147
1989-01-01,542,51,18,733,1344
1989-02-01,413,39,12,601,1065
1989-03-01,431,37,13,484,965
1989-04-01,433,38,17,399,887
1989-05-01,406,28,16,454,904
1989-06-01,486,24,14,415,939
1989-07-01,541,34,11,504,1090
1989-08-01,502,51,22,493,1068
1989-09-01,525,30,15,516,1086
1989-10-01,532,35,22,618,1207
1989-11-01,506,33,18,714,1271
